glove-twitter-25,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,counterpart,fellow,neighbor,patriot,confidant,companion,partner,supporter,member,follower,emigrant,foreigner,intruder,settler,stranger,visitor,vagrant,opposition,rival,opponent,adversary,competitor,invader,occupier,arab,beggar,blacks,crippled,disabled,jew,mexican,unemployed,native,elderly,indian,woman,chinese,pauper,enemy,villain,crook,delinquent,murderer,robber,thief,deserter,traitor,convict,criminal,felon,offender,scoundrel,animal,ape,bird,elephant,chicken,cow,dog,fish,pig,shark,bear,snake,monkey,lion,nature,forest,lake,mountain,ocean,reef,river,tree,sea,beach,island,coast,earth,planet
donating,0.5156036,0.5277761,0.5496276,0.48341838,0.051301252,0.542895,0.46313205,0.43539977,0.3952223,0.47347462,0.40528494,0.45288685,0.52107114,0.508652,0.34962142,0.5041516,0.5252717,0.5335761,0.4764043,0.56727004,0.43166357,0.4822077,0.3304261,0.4457044,0.5629718,0.31870842,0.32025728,0.41645283,NA,0.1866783,0.28900993,0.38588277,0.3818385,0.57386506,0.20338677,0.4416561,0.31568164,0.47440007,0.2798282,0.4901861,0.24740838,0.2849124,0.18719779,0.37005976,0.508054,0.41861352,0.6087222,0.018498987,0.4559419,0.7045533,0.46455395,0.61982936,0.48226738,0.4990392,0.468902,0.09674023,0.4126816,0.21145755,0.34472778,0.4798095,0.33584818,0.34231523,0.37225556,0.25471103,0.30870587,0.43942872,0.3263585,0.44538605,0.42675072,0.3591863,0.32370767,-0.25558537,0.27234542,0.41806448,0.3780431,0.25202385,0.4381444,0.3764973,0.3319246,0.22644489,0.40180063,0.21871419,0.26719338,0.24732144,0.3281873,0.35961556,0.31244737,0.3508063,0.26933712,0.3151713,0.20412353,0.43433648,0.16166356,0.3585386,0.3139291,0.4100011,0.3856572,0.24577238
donated,0.49802122,0.5229781,0.58034223,0.4976906,0.10192687,0.5543294,0.42803085,0.43103918,0.36303818,0.4630575,0.4040407,0.45917422,0.5597157,0.5689197,0.35357544,0.46815962,0.40259877,0.5154756,0.50880677,0.48057842,0.44275227,0.44721234,0.29509276,0.43565768,0.47914025,0.23525773,0.28386015,0.44332027,NA,0.13405755,0.31682602,0.34554636,0.31810683,0.5834131,0.15809417,0.410878,0.26518995,0.45686936,0.2721129,0.5025239,0.28282773,0.22857612,0.122939475,0.3579739,0.44032487,0.3546825,0.55912226,-0.123190776,0.43549055,0.6355062,0.43279722,0.53675765,0.47744694,0.5015742,0.4658704,-0.008489813,0.39513057,0.205468,0.27322686,0.35134083,0.33564478,0.3774066,0.42464602,0.20214969,0.27460164,0.4363551,0.2697379,0.34225696,0.42842504,0.43123353,0.3093194,-0.3371035,0.30017105,0.44423413,0.36131746,0.20640022,0.42586267,0.3875668,0.3077803,0.25722525,0.38038117,0.25778997,0.27650157,0.19676349,0.2640102,0.32154894,0.25534073,0.3377951,0.24566431,0.26892957,0.20152764,0.4454904,0.1847931,0.285574,0.2960294,0.36930814,0.425771,0.20744948
aid,0.5467368,0.58148134,0.6282931,0.61816144,0.15371385,0.5529845,0.49350557,0.4566359,0.44093466,0.4729908,0.37060788,0.40362915,0.53050524,0.49883613,0.42146066,0.38316053,0.67523295,0.53677094,0.4769329,0.6238334,0.5746581,0.6002633,0.21088734,0.6134142,0.6609967,0.44447634,0.39117512,0.32721344,NA,0.25866994,0.29183632,0.58898,0.3947349,0.6719873,0.2638572,0.64689094,0.42702347,0.48806664,0.2711558,0.5474856,0.31871396,0.3286349,0.45606282,0.46521658,0.55988425,0.41841975,0.6369425,0.23203611,0.6162286,0.6433223,0.68818176,0.69480747,0.69850886,0.6545917,0.737801,0.11821225,0.6028293,0.2596871,0.37385327,0.50276786,0.50238323,0.49578607,0.57906634,0.2417666,0.37280938,0.4898125,0.5407591,0.47417948,0.6000303,0.1890939,0.57415634,0.06317356,0.50746715,0.5693788,0.5734501,0.5192043,0.6009469,0.63268185,0.53736365,0.5233238,0.52943504,0.42331144,0.45744908,0.48352003,0.5488214,0.5878621,0.5025952,0.61439884,0.43893057,0.51801044,0.371489,0.58523977,0.2921221,0.51412326,0.56684655,0.64888847,0.57743675,0.4747232
aiding,0.38214582,0.35958725,0.39816985,0.24715509,-0.06483059,0.37829,0.10957686,0.094698176,0.28512278,0.2555328,0.13217843,0.19216369,0.4208419,0.48109078,0.42346212,0.19336556,0.47769082,0.573974,0.6837188,0.42814258,0.38302356,0.5042036,0.5813922,0.44076848,0.38917285,0.32069215,0.12476976,-0.058746967,NA,0.41747394,0.53082925,0.7861029,0.20657729,0.41351083,0.4561731,0.6101723,0.2315069,0.44178444,0.6170502,0.51536626,0.44069216,0.7476201,0.18751022,0.61786574,0.5153406,0.5434742,0.6023294,0.1043487,0.31422314,0.61477673,0.45873672,0.6945133,0.3880377,0.3832418,0.34864086,0.40442264,0.49983084,0.35881123,0.5557654,0.72375745,0.6637219,0.68879783,0.47538194,0.59628785,0.61279684,0.75436467,0.45983794,0.78994745,0.7292098,0.5164867,0.22390257,-0.149466,0.12672381,0.35641953,0.12172822,0.22708088,0.21512942,0.2152447,0.25302193,0.25795737,0.11853604,0.20670024,0.15112254,0.29942164,0.21845815,0.24564266,0.14384256,0.14296624,0.15285818,0.30840698,-0.042891745,0.10394373,-0.1494858,0.0034013344,0.14627966,0.19751608,0.20151325,0.16193886
aided,0.29383194,0.2821945,0.35679048,0.19068131,-0.21430175,0.31388015,0.041520827,0.06809452,0.2070177,0.2414048,0.11901319,0.1704673,0.38870057,0.48885125,0.59924626,0.24739893,0.5023184,0.5809195,0.7911186,0.26140994,0.35625672,0.5464908,0.6570868,0.55502254,0.37662193,0.1820972,0.1413214,-0.076245695,NA,0.5576939,0.64119214,0.6718201,0.19329605,0.48474556,0.607097,0.55562246,0.16170527,0.49501815,0.6697518,0.63914645,0.537642,0.7944419,0.12681575,0.6511084,0.38151458,0.5714806,0.6105937,0.16332881,0.17807227,0.5327666,0.51332814,0.5394315,0.3973141,0.36390063,0.3339125,0.4463526,0.49806052,0.35406104,0.57768285,0.5174491,0.5904696,0.6609341,0.5747746,0.6576217,0.5888566,0.7429202,0.3234222,0.6187516,0.6514511,0.59379256,0.07290913,-0.088824324,0.129594,0.34403336,0.02202492,0.16803324,0.15016791,0.18054673,0.1438562,0.3208446,0.09348353,0.26699412,0.112065524,0.19930984,0.23485023,0.33099186,0.25234476,0.3035069,0.2302521,0.41880515,-0.0072363177,0.22436808,-0.20393343,0.0633836,0.24812216,0.2724242,0.3347443,0.24965274
empathy,0.32959312,0.28984818,0.45329565,0.38729125,-0.03152574,0.3064194,0.22487001,0.2162562,0.14107145,0.19877383,0.09373646,0.10204243,0.3191445,0.29268074,0.5107641,0.38410217,0.5397042,0.35827327,0.5128414,0.4419038,0.2468707,0.45772603,0.4786499,0.72437185,0.56257844,0.26721415,0.18170902,-0.0782906,NA,0.5141412,0.14710139,0.42460582,0.39668646,0.31775293,0.4692824,0.48857984,0.29503787,0.5150716,0.6221277,0.5391335,0.22124341,0.40864283,0.17792854,0.4901832,0.41854137,0.42508522,0.33453012,0.24649526,0.2589099,0.40937603,0.55854815,0.4741599,0.37873837,0.48798475,0.34841847,0.40709624,0.7268065,0.4527765,0.42821908,0.4808994,0.3688296,0.26451018,0.46941987,0.3136423,0.41735402,0.43027878,0.48011705,0.34879613,0.39147103,0.18728048,0.3884433,-0.055014327,0.2460315,0.32051867,0.16082683,0.3804,0.26514253,0.31745765,0.29437557,0.2497176,0.32461414,0.3019999,0.22951795,0.32733896,0.62739676,0.39818186,0.26345718,0.36314476,0.39992827,0.37004945,0.13314237,0.35917315,0.14826359,0.15848064,0.26397812,0.2832479,0.5424566,0.5494761
empathetic,0.2956086,0.21088134,0.25388676,0.19633642,-0.11352704,0.1918364,0.0204264,0.085098006,0.062088065,0.14720286,0.12433776,0.07021616,0.2361647,0.24145669,0.6702416,0.20771675,0.448693,0.3315604,0.5278125,0.4328114,0.15938821,0.3166516,0.6265314,0.51819426,0.4682227,0.31503835,0.14754415,0.0030319223,NA,0.4801182,0.039091002,0.3104711,0.2941361,0.33956134,0.29131123,0.3498661,0.0834987,0.34060496,0.67705065,0.42367312,-0.03800478,0.45186263,0.15610185,0.5146261,0.3315786,0.43735573,0.4147632,0.4064294,0.1459527,0.51487803,0.32851148,0.561074,0.28835583,0.37650588,0.17532223,0.3448147,0.4260334,0.20847759,0.37714747,0.44476232,0.18916373,0.17487197,0.091441706,0.3600235,0.34660465,0.28446215,0.04668662,0.2609996,0.2166107,0.40692133,0.10670882,-0.019332495,-0.043818932,0.21270874,0.026862971,0.261214,0.078810655,0.112697534,0.1260673,-0.02235815,0.20593224,0.09327912,0.039512936,0.2003471,0.46358725,0.1875159,0.20690845,0.13929586,0.15293583,0.2549527,-0.06635693,0.17414115,-0.028038943,0.0871916,0.09429861,0.07572904,0.28744504,0.33589125
empathizing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
empathizes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sympathy,0.6304014,0.6176925,0.6646308,0.6575903,0.17772523,0.6043786,0.5216336,0.53982395,0.444525,0.5121256,0.48558873,0.50169134,0.6064778,0.56957376,0.5303775,0.53238994,0.55467993,0.5239552,0.48051122,0.64745384,0.55820507,0.41628054,0.47002107,0.5913961,0.5926641,0.36467317,0.2578038,0.23020001,NA,0.46064284,0.3015936,0.34940308,0.6490184,0.47079048,0.32726288,0.49403736,0.25653592,0.7018419,0.5533123,0.5877444,0.19698045,0.31748453,0.083043754,0.5547055,0.55829275,0.58629256,0.529545,0.27098313,0.48126984,0.5917595,0.47949335,0.6294743,0.44622287,0.6626244,0.43011972,0.22664902,0.7738385,0.44156495,0.5573649,0.5494698,0.51599365,0.4354857,0.5513587,0.2865673,0.47299087,0.55865616,0.48067465,0.5286735,0.47180203,0.3046206,0.41625625,-0.071165495,0.41269687,0.47608256,0.350882,0.48356876,0.50269914,0.48383144,0.46995026,0.3623452,0.48874363,0.47049734,0.4388555,0.37715408,0.5609361,0.36145353,0.295571,0.3565635,0.44156718,0.26265243,0.18411988,0.4523797,0.19386719,0.25289357,0.17992933,0.38550523,0.5656171,0.39874896
