word2vec-google-news-300,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,counterpart,fellow,neighbor,patriot,confidant,companion,partner,supporter,member,follower,emigrant,foreigner,intruder,settler,stranger,visitor,vagrant,opposition,rival,opponent,adversary,competitor,invader,occupier,arab,beggar,blacks,crippled,disabled,jew,mexican,unemployed,native,elderly,indian,woman,chinese,pauper,animal,ape,bird,elephant,chicken,cow,dog,fish,pig,shark,bear,snake,monkey,lion,nature,forest,lake,mountain,ocean,reef,river,tree,sea,beach,island,coast,earth,planet
helping,0.08088119,0.05904763,0.082466096,0.05551315,0.07780398,0.06732401,0.08070638,0.104485214,0.06576008,0.04644231,0.06108839,0.062205058,0.08875083,0.106940284,-0.019629173,0.119036496,0.08162099,-0.0029581285,0.0062602228,0.18031988,0.06604663,0.09131545,0.12353971,0.07755788,0.2040892,0.15733422,0.12543356,0.0768066,0.06778649,0.0031119797,-0.047648754,-0.0027156407,-0.009633989,0.020797372,0.031868465,-0.011447045,0.061781384,0.002398473,0.004597344,0.021048816,-0.010360275,0.081189565,0.03217679,0.023635454,0.056424536,0.17061694,0.19407175,-0.040274903,0.025985591,0.1493171,0.12721008,0.13707201,0.01832623,0.023571385,-0.014273617,-0.046281185,0.035506573,-0.08003394,0.00377763,-0.018765997,0.0129610505,-0.028914005,0.0672386,0.01296252,-0.0009924229,-0.027457314,0.020509074,-0.023146965,0.010936276,-0.021510309,0.03952352,0.020261394,0.073437944,0.062220484,0.04341806,0.018662479,0.079190075,0.023445336,0.024354434,0.031179208,0.049776345,0.0769924,0.07026534,0.109635286
helped,0.052403152,0.04295609,0.087999746,0.043338276,0.062236283,0.05007696,0.065941475,0.0950234,0.07509591,0.07060686,0.0545491,0.050441533,0.07365662,0.12456132,0.025212228,0.027181754,0.07591271,0.032600272,0.03813261,0.13584201,0.04652392,0.035392284,0.10467386,0.060832016,0.078142405,0.13240267,0.07273825,0.008908145,0.071477644,-0.009847526,-0.07199499,0.026042333,-0.01850727,0.053853676,-0.011748381,0.023658609,0.0862564,-0.013316635,-0.028344693,0.033080377,-0.05890338,-0.015198514,0.002602836,-0.027561525,0.07822333,0.21181193,0.09182106,-0.043536525,-0.00509914,0.013149127,0.10634824,0.05377876,-0.00985819,-0.0060530365,0.017271494,-0.023401547,0.024916442,-0.043693863,0.020406988,-0.0037209552,0.023138858,0.0002784114,0.03893029,0.013043855,0.0036667027,-0.0043413993,0.025326798,0.008730851,0.025559,-0.018713871,0.005093734,0.0031144628,0.05243794,0.049858976,0.030877724,0.027404064,0.04794119,0.036341976,0.018503606,0.019965248,0.0064178794,0.035800293,0.009691499,0.0019497831
concern,0.016960077,0.017954646,0.03958711,0.036419485,0.0674423,0.038376555,0.06942036,0.0458023,0.05618048,0.04592484,0.08142193,0.07739087,0.074900985,0.09450524,0.12237281,0.17402284,0.064838074,0.07512123,0.02814864,0.05314422,0.10352152,0.06440713,0.0516884,0.05893902,0.06856747,0.20544797,0.10619642,0.00016056084,0.050048213,0.070666365,0.016116068,0.027902307,0.06644636,0.024279028,0.024070486,0.31940225,0.07865102,0.14674646,0.12674393,0.14983737,0.032689124,0.094371654,0.0011922293,-0.0029621169,0.032677796,0.08863995,0.05182872,0.010935986,-0.007024103,0.044813793,-0.017848395,0.11339988,-0.0039347485,0.003829703,-0.013026708,0.038855024,0.015456235,-0.049351536,0.023541054,0.07636551,0.06687286,0.03163136,0.024660973,0.07110282,0.021622432,0.029124448,0.08718824,0.012991971,0.0012922189,0.02863514,0.12282997,0.039708752,0.13875823,0.046036653,0.06895209,0.066437095,0.0688923,-0.0045675673,0.0896266,0.019991698,0.061167467,0.024057107,0.053985745,0.06775217
concerns,0.01607328,-0.005013309,0.024327537,0.02170415,0.04057749,0.01889554,0.02599419,0.0064787758,0.02318373,0.038091403,0.03447024,0.036981672,0.067547254,0.064607024,0.06865547,0.07896558,-0.03357595,0.054364223,0.052502245,0.076009475,0.08158261,0.003311611,-0.05217013,-0.03712355,-0.0044189086,0.07169099,0.040945087,-0.08479315,0.008376181,0.0016399734,0.02600942,0.034912556,-0.017443206,0.0050291894,-0.013603485,0.31727624,0.090954766,0.089401245,0.038787313,0.08496792,-0.0038697303,0.026746403,-0.032763284,-0.04733149,0.025593905,0.13610564,0.082132764,-0.014551979,0.0074439254,-0.02962611,0.009569634,0.10163967,-0.029393902,0.021113921,0.023299789,-0.044380337,0.02193798,-0.059691876,0.014665552,0.047576707,0.07473145,0.025957331,0.022122478,0.04616982,0.04263239,0.0073630204,0.030984778,0.012031534,0.0019396271,0.002247814,0.14213066,0.008554693,0.09938873,0.062340874,0.04708855,0.039354105,0.06306531,0.012358889,0.060102534,0.015810343,0.07521555,0.02301571,0.030705234,0.0119908545
concerned,0.02754839,-0.005522739,0.038078394,0.022371069,0.03460736,0.019997302,0.043126952,4.7314996e-05,0.031291652,0.0066224374,0.024408244,0.05284442,0.010026934,0.03308642,0.07713871,0.07948924,0.13883403,0.021347854,0.0342478,0.0994234,0.1050998,0.08418357,0.14318381,-0.042151734,0.04655636,0.16055131,0.17952815,0.08761991,0.033944763,0.11167998,0.0066100913,0.03909329,0.111923166,0.009927193,0.031333566,0.12080372,-0.006445587,0.032813646,-0.0021367257,0.037682366,-0.019179856,0.064253226,0.01874331,0.025683267,0.017127642,0.12661,0.100960635,0.035743557,-0.035512798,0.13657066,-0.0069472324,0.13004123,0.017409824,0.0057663764,0.013789853,0.07928682,0.05634402,-0.03109451,0.05091941,0.0068877405,0.087319516,0.063763246,0.02697938,0.087150514,0.023409104,0.008411438,0.1538772,0.08522978,-0.018353267,-0.025063852,0.1241932,0.041458316,0.11811997,0.043218512,0.020958383,0.0375118,0.12229199,0.028205708,0.0059927586,0.048955087,0.081429124,0.04956969,0.06448274,0.062553875
concerning,0.03653826,0.022593297,0.044610143,0.04880901,0.024812516,0.023248225,0.030918999,0.05244718,0.03100494,0.038150348,0.0404966,0.028986184,0.02994813,0.0782062,0.103757374,-0.0063089067,0.037928596,0.00709755,0.089758635,0.024722435,0.062364437,-0.00907958,-0.008094285,0.02645489,0.006646514,0.0555189,0.040562645,-0.0024203456,0.08879024,0.017454172,-0.03373014,0.01936286,0.13765074,0.048690002,0.023846654,0.069694765,-0.0037606664,0.051019117,0.0006312548,-0.00807853,-0.06404383,0.020846793,0.08453357,-0.016513845,0.032697685,0.117714345,0.06673884,0.0893079,0.052985605,-0.05705384,0.019120365,0.10751627,0.02906056,0.038203105,0.06291756,0.005887202,0.09934691,0.030685835,-0.012624886,0.023924379,0.057201724,0.014087187,0.0471583,-0.010313829,0.075870454,-0.019199235,0.08824066,0.009743307,0.018331217,0.017247137,0.23697895,0.050103493,0.024749765,-0.0032443805,-0.014581668,-0.03612224,0.0036003056,-0.044611506,0.028436065,-0.019707879,0.032653615,-0.012100205,-0.016096815,0.01418444
empathy,0.11180029,0.085568525,0.1402848,0.17255203,0.100880384,0.12700781,0.11731123,0.0861504,0.11586723,0.14005241,0.12886727,0.07865489,0.1721523,0.12031825,0.20163515,0.10572097,0.1555534,0.13109869,0.059062358,0.2732415,0.1040972,0.20324922,0.16307025,0.0910425,0.054079678,0.069870025,-0.010990052,0.098959684,0.11492317,0.115743235,0.056626983,0.066896275,0.15578999,0.070538625,0.18753347,0.10017737,0.00464047,0.067732215,0.16340803,0.043244433,-0.01155493,0.084545694,0.0732366,0.16262907,0.19454423,0.050030775,0.22608782,0.019550849,-0.0044877753,0.18569615,0.045367118,0.20847034,0.011714541,0.13261421,-0.009014508,0.075335845,0.19561695,0.21689707,0.04418415,0.105196066,0.07496011,0.071723916,0.16890745,0.066910766,0.093714274,0.116787076,0.10556549,0.10600579,0.15566543,0.0973964,0.18305637,0.033459544,0.04638325,0.03226172,0.09880247,0.06759,0.040251296,0.015033616,0.11473012,0.021881469,0.024411209,0.06534136,0.13327488,0.10353073
empathetic,0.110925086,0.086175084,0.112338305,0.1523534,0.055465933,0.08718527,0.06306874,0.042591017,0.08843203,0.12648873,0.0877784,0.04107759,0.104150765,0.04549434,0.22470704,0.16363257,0.17563497,0.15624681,0.050309867,0.26130828,0.085582614,0.21845646,0.27152458,0.13213263,0.076613046,0.10240414,0.04384027,0.14538741,0.099891305,0.10448366,0.14687997,0.096371695,0.16086116,0.06233105,0.20938754,0.005701135,-0.04580606,0.10746427,0.20474763,0.058134336,0.03840392,0.118582815,0.024815729,0.13811247,0.14372134,0.037876476,0.19205268,-0.017683549,0.024263324,0.22341368,0.018676708,0.23707488,0.016769443,0.18619406,-0.0050417325,0.045093738,0.16788614,0.21277043,0.042224247,0.04201383,0.015178193,0.04604443,0.15518641,0.04154471,0.054942373,0.1371086,0.096975304,0.1325499,0.11987902,0.05798223,0.21364208,0.0024243188,0.013937434,-0.0025158555,0.107363604,0.09175568,0.050573125,0.025838602,0.062338106,0.021772332,0.048780803,0.06361448,0.20699434,0.17511517
empathize,0.17177194,0.17387052,0.16506623,0.19555971,0.16382076,0.16355917,0.12666982,0.093100436,0.1290934,0.14522141,0.1375141,0.10709156,0.1515579,0.095702656,0.1722559,0.11217029,0.20774946,0.12988865,0.089141235,0.32858765,0.07406602,0.15588075,0.16861196,0.038305398,0.0791645,0.09419959,0.023856902,0.1194467,0.14778739,0.2026866,0.0821098,0.048447605,0.15521838,0.0472762,0.14063296,0.04347047,0.039265174,0.06776975,0.12704693,0.008103157,0.06700919,0.09989013,0.025719458,0.14565177,0.12227508,0.13889863,0.23560785,0.06574177,-0.0072600096,0.19209783,0.09782504,0.19084968,0.040901322,0.12638313,0.026214197,0.10527991,0.06009327,0.12348339,-0.03153264,0.072189964,0.032980617,0.011995375,0.08788441,-0.0046955,0.038499758,0.015609975,0.1590202,0.049520656,0.09602729,0.019201163,0.08399734,-0.0546626,-0.0027531781,0.016846873,0.010453812,-0.021998273,-0.02789508,-0.0023100886,0.014428047,0.022927446,-0.006279108,0.004215325,0.07468526,0.05764439
sympathy,0.16456014,0.14592296,0.14430512,0.16402844,0.15281926,0.14482594,0.15453732,0.15643072,0.1670889,0.15084787,0.18222831,0.1832509,0.17942297,0.16195245,0.16995776,0.1686845,0.1109315,0.15291211,0.08525372,0.25326002,0.08990725,0.22484705,0.12667125,0.063156344,0.043122683,0.17927904,0.07016615,0.12574199,0.1824931,0.16138065,0.022663299,0.027399683,0.14535236,0.04703439,0.12073168,0.29801348,0.10813932,0.13515832,0.14212415,0.05549589,0.029401056,0.10778299,0.0685945,0.16211773,0.099787384,0.08791819,0.13141556,0.045367982,-0.023675552,0.20932114,0.036869295,0.18315756,0.0046654944,0.05542602,-0.029082589,0.14595577,0.06340713,0.09364279,0.008791684,0.04877452,0.030370377,-0.0014442988,0.08772482,0.031868104,0.059091233,0.04361822,0.088664494,0.0564298,0.08177774,0.11332715,0.07324429,0.036356743,0.056064986,-0.0009205251,0.038771965,-0.0054017743,0.03392821,-0.019465888,0.08164725,0.038575154,-0.0037852498,0.061688397,0.054659322,0.03577223
