1890,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.21421867742701728,0.1523261180007335,0.07387652452729351,0.1793496161328124,NA,NA,NA,NA,0.13641248371206877,-0.058606786411843,0.13528184198881665,0.1403602613095836,-0.013905288230301384,0.011405719490493096,0.026570510322709313,0.029980103479270184,NA,NA,NA,0.17642085185468,0.11332259351000343,0.05297413995024252,0.1809614181923981,NA,NA,NA,NA,NA,NA,0.09767732761195212,0.03550283498498721,-0.09778486565055444,-0.10244616282266111,NA,0.1174722880089009,0.11682461623986384,NA,NA,NA,NA,-0.004843652161562313,NA,NA,0.02009138707424047,NA,NA,0.10094929894516928
wife,0.1838725251197924,0.1529785498050835,0.06132071498001833,0.22967241944094618,NA,NA,NA,NA,0.06732663838745363,-0.08657466651415333,0.12898612489636024,0.1561340951676609,-0.03385912280997863,-0.042964406634639796,-0.04251370820559119,0.03474682120089498,NA,NA,NA,0.07129623471923174,0.03790537739207911,0.020501505430910495,0.08984572932712505,NA,NA,NA,NA,NA,NA,-0.022378509825780202,0.03889421725815429,-0.12040994890762713,-0.06314900709687228,NA,-0.02281137300260639,0.10467064382836207,NA,NA,NA,NA,-0.0911724640900171,NA,NA,-0.07318964044801758,NA,NA,0.030889201756692988
father,0.22451276180376376,0.09891993593258697,0.034618481094357126,0.19902399069831614,NA,NA,NA,NA,0.22608435554182485,-0.129757668292848,0.07817552413571292,0.1394652457339789,0.041349325949966084,-0.07603442570751254,-0.05524427124665622,0.03770094482627607,NA,NA,NA,0.08117303150929124,0.06946144276569284,-0.010908517130809647,0.06547010041891334,NA,NA,NA,NA,NA,NA,-0.03128619260465399,-0.05255552446248345,-0.16932098424809108,-0.17068239586628942,NA,0.01599290278084657,0.05276315513820069,NA,NA,NA,NA,-0.12795415410968913,NA,NA,-0.09907935802515618,NA,NA,-0.028428803429168516
mother,0.2370362884317115,0.13951039217863667,0.0836109137719355,0.21008295116759024,NA,NA,NA,NA,0.2406914076804263,-0.11170739305025655,0.09800847332177953,0.17011692940253845,-0.010607146740151679,-0.054682964004702385,-0.07031591882675202,-0.0089923388692893,NA,NA,NA,0.1251521027928467,0.07537321425137691,0.09053260367933598,0.13243608763922157,NA,NA,NA,NA,NA,NA,-0.034811686024611925,-0.03982575827627833,-0.16596243032770275,-0.18586304920058005,NA,0.032316602582607525,0.04658292515768764,NA,NA,NA,NA,-0.10587957931935112,NA,NA,-0.07791803998921705,NA,NA,-0.05301123160243015
son,0.12445157580993674,0.09469027810531502,-0.005530965303984446,0.05950941404902368,NA,NA,NA,NA,0.11894731095683625,-0.08329113386082129,0.09175576077527364,0.09655339681036115,0.0065702196468178575,-0.059639245718225924,-0.09571371164717862,0.018445941070034166,NA,NA,NA,0.03450795443932256,0.07619990794055224,0.012514632652288497,0.09867805602290619,NA,NA,NA,NA,NA,NA,-0.06107122532033048,-0.07526171003310891,-0.09999140836210921,-0.019299573356482004,NA,-0.017053463627514143,0.002004275021265291,NA,NA,NA,NA,-0.05926797728733568,NA,NA,-0.113408222411156,NA,NA,-0.06110333484536016
daughter,0.1561519827721278,0.10355761441737929,-0.014722006067607925,0.177979377588038,NA,NA,NA,NA,0.10544038957608273,-0.09157395051690763,0.1247644725882103,0.12621506027936383,-0.015539960595383635,-0.05453710005940148,-0.018433288766792205,0.0640178194275511,NA,NA,NA,0.09026178222933232,0.10756067844520824,0.014808614284410977,0.14625374327473206,NA,NA,NA,NA,NA,NA,-0.033205130000232515,0.036482281365458474,-0.1338446147269292,-0.07484655301441134,NA,-0.04364732059569753,0.07111242818089163,NA,NA,NA,NA,-0.08531945750059411,NA,NA,-0.10094244824688821,NA,NA,-0.03659348089526195
brother,0.04372177705055875,0.06700235197570083,0.03830153972451187,0.05312123332249945,NA,NA,NA,NA,0.17717406556967866,-0.07669812602467371,0.12495435689062685,0.09067745644074499,-0.01576435587006854,-0.012328695895202737,0.0049106413855096905,0.05391043092715656,NA,NA,NA,0.06267339971765408,0.11618907529870659,0.033653740969938076,0.08366509856670948,NA,NA,NA,NA,NA,NA,0.019799634808355674,0.004638801736653396,-0.08414439300085458,-0.08143070198079026,NA,-0.00285389135294438,0.021954109744445414,NA,NA,NA,NA,-0.026365464759368632,NA,NA,-0.043226294953649005,NA,NA,-0.023428018955373463
sister,0.15385558670543578,0.13923031611723502,0.07186934245667942,0.19337234142746848,NA,NA,NA,NA,0.19793826017407784,-0.12009404035138374,0.16869777218331652,0.14772971163569584,-0.08032021585518169,-0.04412770789083879,0.005596992617408276,0.009549311933232303,NA,NA,NA,0.09424111407833614,0.1126766264850137,0.08326183678153866,0.1536647576262246,NA,NA,NA,NA,NA,NA,0.05357610320493435,0.06445104741500304,-0.09479631012199023,-0.07994947683257701,NA,-0.00841068845063492,0.045307466988227435,NA,NA,NA,NA,-0.040472182545472773,NA,NA,-0.030936459960649344,NA,NA,0.030047914560025014
uncle,0.12882901642347241,0.04886721974629522,-0.023177928323966566,0.12040126829377368,NA,NA,NA,NA,0.134641373019585,-0.09597517733255413,0.07436858764213423,0.08779477427588407,0.0026575355500495904,-0.08222762598424854,0.02369972736530837,0.06122868041461349,NA,NA,NA,0.03374199940319841,0.08164242078264008,0.058344946467722925,0.021852409252434975,NA,NA,NA,NA,NA,NA,-0.056845872549282285,0.0010589086050279326,-0.07652861786037167,-0.0653844476040657,NA,-0.0654379336391707,0.10537375544356112,NA,NA,NA,NA,-0.039537005676489864,NA,NA,-0.08754910044476105,NA,NA,0.0013377109358135662
aunt,0.14256249607642824,0.04777242698806516,0.07518080339532694,0.1332459789629396,NA,NA,NA,NA,0.27875887284510603,-0.04172766213426209,0.14429209304550883,0.12221456625630964,-0.01571843802069919,-0.06623958803350881,0.0693703647581138,-0.007686919763531782,NA,NA,NA,0.14235027936581632,0.15702390604239697,0.03524976984076961,0.12504646750838522,NA,NA,NA,NA,NA,NA,0.03524228835520259,0.036606417576836664,-0.07898744695541533,-0.09862561451094862,NA,-0.01087138918957737,0.11661976651122505,NA,NA,NA,NA,0.018081854065350723,NA,NA,-0.03461136455593454,NA,NA,0.09743890646575443
