1860,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.21425432551961812,0.10802034262780227,NA,0.07567726967018194,NA,NA,NA,NA,0.09158849265907654,-0.021995083311333007,0.059988089109316266,0.0648392819084973,-0.06490141490779841,0.004909359351605844,0.050567004826596214,0.10239513040859835,NA,NA,NA,0.1587036909164937,-0.026770264506927734,0.01875864466631474,0.11582046888135887,NA,NA,NA,NA,NA,NA,-0.04800802659008878,0.015711200434444874,-0.1705951318973,-0.19364690210527916,NA,-0.04751860026641706,0.05639816943553477,NA,NA,NA,NA,-0.05920742710025959,NA,NA,NA,NA,NA,NA
wife,0.21571586220598787,0.07070701640120079,NA,0.06713165205795049,NA,NA,NA,NA,0.13433921836114218,-0.0856601047289506,0.012905215057203384,0.06185797546249749,-0.13105573008244709,-0.08952547207204288,-0.04691837810579496,0.03275822062982503,NA,NA,NA,0.03238470632944034,-0.0031260067198535368,0.04490594115730084,-0.031363555112945835,NA,NA,NA,NA,NA,NA,-0.11479988396717836,-0.0288973171517687,-0.1823296344722302,-0.132058333859464,NA,-0.05771162906626902,0.07310170400062896,NA,NA,NA,NA,-0.0840971816166219,NA,NA,NA,NA,NA,NA
father,0.26769730835897293,0.0968445476876336,NA,0.06943448636934614,NA,NA,NA,NA,0.20124843768674053,-0.0026873265152837452,-0.03331001906453475,0.01140311243289439,-0.08431339947626183,-0.0975080010160823,0.00820022747199429,0.1314268104252119,NA,NA,NA,0.07673434031746983,-0.10447111034942587,0.004315895487932482,0.0682708878883205,NA,NA,NA,NA,NA,NA,-0.10822742715557598,-0.06511876548568432,-0.2730450959561695,-0.2242310889272751,NA,-0.06631665429839494,0.04216363783420172,NA,NA,NA,NA,-0.14102161663850848,NA,NA,NA,NA,NA,NA
mother,0.32796019698064044,0.13930378769214696,NA,0.1322504602218529,NA,NA,NA,NA,0.2496337125613308,-0.06597805549437258,0.005846342508310634,0.05453096081984038,-0.08084521878549922,-0.10809422971958654,-0.027352061451086904,0.12161392860344719,NA,NA,NA,0.1361304787303014,-0.05076877597759124,0.014477647944021213,0.07636833069456124,NA,NA,NA,NA,NA,NA,-0.13576250425945155,-0.032763289001132574,-0.2678682772445101,-0.2936239241030627,NA,-0.03854509854661412,0.06116384765776125,NA,NA,NA,NA,-0.13323950467038148,NA,NA,NA,NA,NA,NA
son,0.18104798090413562,-0.02128483522829156,NA,-0.02516885136897909,NA,NA,NA,NA,0.114346560389196,-0.09059832406267664,0.0149216700278265,-0.03219917661932962,-0.11488595181747152,-0.05864421829669732,0.017220866992073446,0.058599946735373276,NA,NA,NA,-0.002577639147587314,-0.04139769029433372,-0.023965045324466656,0.025149093747235785,NA,NA,NA,NA,NA,NA,-0.12153512080231843,-0.04630044979786992,-0.1744143918347146,-0.09320623158353032,NA,-0.07535333271472813,-0.03444625946610404,NA,NA,NA,NA,-0.019677933134693806,NA,NA,NA,NA,NA,NA
daughter,0.23921173649291183,0.05462631355081856,NA,0.04810497633488286,NA,NA,NA,NA,0.060797366374340404,-0.04128244366028055,0.007203906869841905,-0.013912913502022686,-0.13461670538313633,-0.07004045850426163,-0.01068943031775543,0.09028664001565541,NA,NA,NA,0.06610661507821933,0.006440360441191251,0.06373960062896956,0.056861573975262224,NA,NA,NA,NA,NA,NA,-0.08528474630718058,-0.022892369429629106,-0.19908575485777177,-0.1334403225021662,NA,-0.11674851092496788,0.014943909795246353,NA,NA,NA,NA,-0.050120526531656544,NA,NA,NA,NA,NA,NA
brother,0.19214921267909854,-0.0076188857084418535,NA,0.02962482067993254,NA,NA,NA,NA,0.13499400715149848,-0.06429756134613214,0.00990531760416565,0.00632129896134257,-0.09325974625357776,-0.1199650400933029,0.0421232064245906,0.04907133106411584,NA,NA,NA,0.0866198568685631,0.00295502633128229,0.04002015197881476,0.06040315288130199,NA,NA,NA,NA,NA,NA,-0.07105626653454364,-0.05357540524744301,-0.15473428092214736,-0.08803104705476993,NA,-0.03611391019024982,-0.031207472364490906,NA,NA,NA,NA,-0.0672851595323238,NA,NA,NA,NA,NA,NA
sister,0.25751386938847665,0.041762328178622146,NA,0.11129669557518469,NA,NA,NA,NA,0.10931903782580818,-0.1025730514889547,0.00970402188571253,0.027873090611423547,-0.0905178557742179,-0.05529600129732691,-0.007259519247241089,0.1076486462178757,NA,NA,NA,0.111724554534446,0.08045108039281519,0.08571937833525953,0.05154016311341008,NA,NA,NA,NA,NA,NA,-0.07046544011195395,-0.009491200227490282,-0.14617748959789537,-0.15570027054856544,NA,-0.029656866499326598,0.08333048098368835,NA,NA,NA,NA,-0.07586799482845087,NA,NA,NA,NA,NA,NA
uncle,0.14734423586705367,-0.05404427797118158,NA,0.045616331362217724,NA,NA,NA,NA,0.16730708769527824,-0.04072475371480961,-0.0019911168935187384,0.04962838048409648,0.03656460591273185,-0.14302516516117825,0.011003620498970563,0.0317021984604978,NA,NA,NA,-0.03325657092862875,0.020763813933957934,-0.06802417588622309,-0.008120760474075712,NA,NA,NA,NA,NA,NA,-0.11929359244161973,-0.08150490570506547,-0.15281384830194947,-0.12822705537484314,NA,-0.05552692011490851,-0.054008404597348986,NA,NA,NA,NA,-0.09654696207073618,NA,NA,NA,NA,NA,NA
aunt,0.1763951857925751,-0.0017764946153929165,NA,0.08040772947152654,NA,NA,NA,NA,0.2138364230388252,0.012137892668965642,0.006493303201824964,0.11010140651329817,-0.013739619194393425,-0.10998234924815635,-0.01253007927842042,0.08073601376947177,NA,NA,NA,0.01901150776437848,0.021991739791402443,-0.04793330002809249,0.03641325799060808,NA,NA,NA,NA,NA,NA,-0.11349778083533149,0.025340144986917345,-0.19829359095201568,-0.22333980144516988,NA,-0.11399041394471729,-0.007000874493006838,NA,NA,NA,NA,-0.1897779876193496,NA,NA,NA,NA,NA,NA
