eng-all_sgns,canon,bale,essay,crest,hide,razor,plot,iodine,timber,sole,gap,pulp,log,coil,cork,barrel,valve,strap,rail,closet,cabinet,bundle,postage,landing,font,tool,street,wall,mud,slice,section,rope,post,monitor,metal,limestone,granite,fluid,fiddle,fence,dash,chess,buckle,brass,bedding,bag,anvil,scissors,iron,trunk,vent,tongs,strand,staple,spur,ruler,pulley,platform,orb,net,mat,machine,hose,horn,embankment,digestive,credit,column,cap,bar,wheat,steps,steel,saddle,rod,organ,flank,factory,collar,barley,attic,piping,chimney,den,furnace,patch,peroxide,reins,rudder,sack,sediment,square,turnpike,floor,hedge,laboratory
1830,-0.08495350019495207,0.032242395485315455,-0.013248346673699975,-0.12304702674091107,-0.010608173090875396,-0.08067393507941013,0.06019302384837088,-0.017970100749962515,-0.01537016130497309,0.19105938820491855,-0.06947250230581045,-0.14545076228254097,-0.01670754222473751,-0.09792075551374756,-0.1494393760026929,-0.024201866460090347,-0.042510954355478345,-0.013939832258177739,0.00024183530536348578,0.10454435020911883,-0.01014735816808535,0.04796378591398937,0.05408116086943096,-0.06087848624262095,-0.113743435974532,-0.001689146671018615,-0.11618917730229548,-0.19512995739886912,-0.04593650475909641,0.025211525251882555,-0.11160949886262891,0.04979740433138859,-0.024724197838543082,0.1547416391752056,-0.1440861782932554,-0.17206647526909863,-0.17690154079522408,-0.06128448832994835,-0.02639582037954321,0.04695194025165133,-0.05686336885265251,0.046579100153746805,-0.12567361194458665,-0.13530603580622066,-0.02752563688912891,-0.046084672721022485,-0.007695737042051627,0.010635256018654752,-0.1142659101590586,-0.013983195693919254,0.0011522229840151064,-0.10192261106213556,-0.06539583586895391,-0.15404549082683444,0.037395995856051314,0.04733534049836676,-0.01979703544646702,-0.04625079584540056,-0.06808160487260978,-0.036211296022608,-0.05798557873912415,0.09194285311230731,-0.055985620945641384,-0.13458987989478777,-0.15793291228606862,0.07889323961251861,0.2398762514786901,-0.033274454934356684,-0.06484462062035522,-0.012809453457598657,-0.11304154526452503,0.04829344090346786,-0.037322915232630684,0.10465823286703829,0.022572361170784944,0.018612295122770777,-0.009619763842003796,0.024981776539555082,-0.0015919201539876795,-0.13694838424200245,-0.05416177900174678,-0.0511421984648661,-0.05253182953369216,-0.19794043420681465,-0.1446851387509045,-0.13705698073008615,-0.06280235069469445,0.09244692015771197,0.0671322064620999,-0.06299339450481117,-0.11807067585689529,-0.16343454033507035,0.015061085165303422,-0.1259617650217856,-0.015022218419465288,-0.033039077526407
1840,-0.059417643439904855,-0.025534849989776832,-0.034753693096783986,-0.14511892220465908,-0.007082449264412085,-0.028387686039364545,0.051055645409827155,-0.07537592496701766,0.011694141197932882,0.13989044713110707,-0.11886525629954996,-0.15384718757109447,-0.11145817808724157,-0.11537899499551248,-0.0739437444102469,-0.07567984144673527,-0.053395075725231424,-0.05652134830637784,-0.061378027690798136,0.0714163618698919,0.011532418493821073,0.061638424177621574,0.037718499332824645,-0.06321163696278526,-0.07079046278094339,0.05836439821722069,-0.11376476542212684,-0.10881806489134041,-0.07578057294349662,-0.02673225089814253,-0.1328060327233298,0.06816944777742871,-0.018606969285284772,0.1500109839126829,-0.11460694523786281,-0.16374891887116805,-0.15290317285351052,-0.039974183932027556,-0.1481629786213182,-0.022687153890921272,-0.1146811706399643,0.002781445180819277,-0.029206444256331322,-0.12420716042055403,0.007142352972522454,-0.03057122058521383,-0.0271319611567644,-0.03923002650550479,-0.13719918847045368,-0.03721168992554893,-0.06360594267855267,-0.03132139010770393,-0.07473775003742185,-0.047296030100061684,0.056780003524552945,0.11548722883858906,-0.04011438405297585,-0.022811345623324826,-0.08592891123347687,-0.032217840958566,-0.04841242389896026,0.1328155017705646,-0.013124384196263517,-0.1889483601968384,-0.11804932753341145,0.07154557016281637,0.19852079709444853,-0.1472018369969395,-0.05766218497409997,-0.04874529930281209,-0.10301987144307208,0.04703915909859506,-0.14052759188955424,0.03176756259335158,0.0017049388824539077,0.03715104417675327,-0.044452349479641995,-0.023514682229293534,-0.08575389993582049,-0.09940148813004829,-0.0922342266584315,-0.06548000483824781,-0.06953104959348858,-0.18149247505045102,-0.09993437270739658,-0.06408996867385956,-0.060201671556518455,0.0700980223651094,0.060813817364248596,-0.06749690233206769,-0.1632140853660866,-0.18547967138706464,-0.021977560678236616,-0.09055812057118882,-0.03155463871359291,-0.009850744022570012
1850,-0.0733532270127513,-0.04570695324613165,-0.022021296858850844,-0.13054467671102532,-0.030052002690825728,0.05092772491870716,0.07188848474711962,-0.04737099486328232,-0.04815821134669428,0.1174816311739473,-0.15167176148854467,-0.14969012636285942,-0.07727386241187394,-0.150696711010248,-0.09372398848531431,-0.10554821214131575,0.05689341522338482,0.030831316977882498,-0.019028028196438607,0.06750739636202414,0.06539380478020339,0.04539858822440412,0.01605650378142754,-0.05539209216332134,-0.15610588136303022,0.07263497109511037,-0.1265391331501371,-0.10882265224354976,-0.08851397511193908,-0.043745137372756704,-0.12903464408094986,0.02468933658189306,-0.023297867654164802,0.13194885886325097,-0.08595283916810238,-0.20090421574317532,-0.15143827689237804,-0.07310491545917999,-0.02077624109216786,0.005164496325733074,-0.11221370299719846,-0.0008442844483697722,-0.008508461981928641,-0.13538803262544458,-0.05423493064204349,-0.07028127953697676,-0.0758820839969552,-0.05327182630328356,-0.14329033917566594,-0.05623524857981556,0.024402795109717792,-0.06011813004844414,-0.13098666515527368,-0.041466228829818506,0.014044334256978316,0.07109808981605352,-0.09351046409995224,-0.05398635817040377,-0.13087929254595418,0.018995521640021096,-0.08786801925451927,0.14586988986832325,-0.10735144906875414,-0.07807687127767182,-0.07888227561179334,0.02460578250812076,0.19004498616188412,-0.16745136946028827,-0.033380263436503785,-0.034054566694225664,-0.08316597496121281,0.1021138122626364,-0.15471738383997316,0.025603267446470568,0.005898353887015637,0.021271807757464747,0.009426939046367815,-0.0330411681055979,-0.06234642600484111,-0.10878979017093629,-0.13327018634795532,-0.11372896488044512,-0.11965629456287276,-0.0898630922723864,-0.12017180966514178,-0.09373169888705106,-0.10493067670721078,0.06095748878266565,0.03575027521961272,-0.08809159102365294,-0.1603362238227706,-0.17608227125263604,-0.11826840116351585,-0.06898683507451868,-0.004070165746184747,0.00732408679593628
1860,-0.049445112922091375,-0.05956797650170705,-0.023518542202910133,-0.18020485016561658,0.024291685206271736,0.009874285020895537,0.010489146950657783,-0.052976143732324524,-0.03507370683887369,0.2179380897561714,-0.1993036590605812,-0.14294276382291854,-0.059622710952802874,-0.0577649367279713,-0.05250006154427819,-0.055280788545453693,-0.02884113680722785,-0.023684197246946963,-0.04164726632364759,0.036585905730636914,0.007718807275068305,0.011348098235586133,0.046750050216729754,-0.07495215251875463,-0.10511081771601945,0.06217981299541074,-0.1887504138109904,-0.1556883722225776,-0.03531906761214953,0.027147600514271154,-0.1052162813355248,0.019640410083356107,0.01223032515967399,0.00763496976901975,-0.2047036760850177,-0.22708194576161048,-0.19886291869779738,-0.136732506271838,-0.10317009270110729,-0.04665072696902081,-0.18643143400225556,-0.17034143289673662,-0.04367840561738011,-0.16284843988586578,0.01123624515442792,-0.07208253624082328,-0.1288884899318337,-0.042584832934328916,-0.14304641725139988,-0.0441594910267517,-0.0038804147603716892,-0.06053667364645077,-0.11173129483521234,-0.056139318168829354,-0.030176961115478313,0.1304640219450983,-0.10211702174270211,-0.01201375313148637,-0.05007467111653397,-0.007085716790901966,0.026368367921806538,0.041355218921489884,-0.046422378488654416,-0.12816872778657254,-0.09860022495248058,0.1344073409981101,0.1916287261022261,-0.19655876114752963,-0.08418593423338772,-0.03955777621302846,-0.12127011999428478,0.07478072736142449,-0.13057362838947145,-0.007233494817513597,-0.04436998803852352,0.004191744806733293,-0.01650050149910945,0.05015679826157454,-0.040445471710296534,-0.13207829482977043,-0.14301600873524412,-0.06799470040506697,-0.12800368378403418,-0.11338350668724394,-0.07425956800884055,-0.07220054268787651,-0.05299395883344698,0.09748612258326611,0.08140735648361325,-0.10723307718646811,-0.13028068263462084,-0.19618551996892045,-0.051438033935642516,-0.1418127949091669,-0.010861724870618348,-0.025393743296206556
1870,-0.07934979840640241,0.02276304430927297,0.006047790499984536,-0.13817216894467974,0.0028680147957708944,-0.10521078823153798,0.05769654046156949,-0.06999506174464615,-0.01398412645898494,0.1820742689084413,-0.13879122430339283,-0.11553874917477701,-0.09308420646473659,-0.06675445916321263,-0.08708527219273295,-0.0966291438632129,0.04216567066771238,-0.012682179000136117,-0.027113349948377382,-0.018586393738671467,-0.012501260055720739,0.002394344939417268,-0.0170337101630162,-0.0690827587564791,-0.11142041572695305,0.06830577693457429,-0.1593697372432462,-0.11782921785233066,-0.06079199633913601,-0.060155912950727294,-0.08100915249060732,0.049852150403626797,0.015264029158255454,0.12437554418490399,-0.15302599405747183,-0.20734236709533005,-0.21973185593735242,-0.12748529048729598,-0.025458111259304594,-0.02014981882444769,-0.20126795879231105,-0.06389182730418089,-0.019431634888607288,-0.1328833214675212,0.0204731833822897,-0.06944050549842044,-0.12922643958033,-0.11777628456209126,-0.11976021932764216,-0.03323971329275931,0.030705955079846744,-0.0721896956439944,-0.17873691273307127,-0.04054302032940302,-0.002594576447144212,0.09810640762403658,-0.025302481972228758,-0.028788813925384307,-0.1352519303631559,-0.06511227808360714,0.050810837724688626,0.03709350010299274,-0.03134946969217036,-0.18216942345782894,-0.09288780656464324,0.0963139256987011,0.23617651554556782,-0.12925643683313617,-0.05628894895033249,-0.07127878469419328,-0.10978872397796466,0.0704417688874804,-0.19245550122687158,0.05792168492268377,-0.03487307918776605,-0.03156587062492255,0.044437972530606884,-0.039020729859806626,-0.08207005913871154,-0.15245821781752011,-0.13561166262346921,-0.11303904270645845,-0.03693810045734062,-0.15678687236269423,-0.1293775976738015,-0.08153201216635288,-0.06518126059639484,0.1612658530651247,-0.05053610599902982,-0.12786727665629338,-0.14543013318857698,-0.18153439993170425,-0.001643834525005125,-0.10007612938367093,-0.02239342965744988,0.0024230185625546217
1880,-0.06973056253425541,-0.07204968353006987,-0.019470936525966247,-0.16767748721644393,0.006771687995872647,-0.01218824567504363,0.04048155419094994,-0.060609199457753046,-0.024036012430747686,0.20393809203277524,-0.17170820487139016,-0.1168067620955608,-0.11432828797126227,-0.12882570480867647,-0.12508621130269407,-0.09456610898988169,0.0038391464523419537,-0.044824415383724385,-0.044121193217372734,0.02373862721845912,-0.01017770974699068,-0.0036358509886999647,0.01182271334286065,-5.018015081269997e-05,-0.061112926744171764,0.04458583884962672,-0.15132064311037866,-0.11671330154098662,-0.11463076517749064,-0.08765973995957091,-0.13350544707971415,0.03644729987090795,-0.0549673776175989,0.025046835158853645,-0.14836972936287968,-0.2131034282596173,-0.1167994282104245,-0.08900359727634033,-0.03345339080607662,-0.013972753996916743,-0.16716817367374015,-0.10547525454247235,-0.031953717457715844,-0.11596034646394861,0.021755110698785534,-0.047515968940892404,-0.11075942185916182,-0.07753360704476539,-0.13131539572025303,-0.03949476830423576,0.045379736461761015,0.02988999735208922,-0.1548383158062649,-0.07345436207299297,0.028143413404066325,0.11982165384930413,-0.05585657234399222,-0.0021410614607225865,-0.12889918674457962,-0.026376441473132055,-0.021456232470492737,0.010538583904526885,-0.06226166403481866,-0.12062815837222546,-0.09501118891629337,0.04416748144312942,0.21294453683841694,-0.09876216808903374,-0.12326699264348101,-0.11122456601547108,-0.15666118856265396,0.10442604013579602,-0.15042533962256296,-0.0019284453064746568,0.0028290675857187563,-0.0170485281417766,0.056250662853176585,-0.044870307348270626,-0.05436876284415403,-0.13380874315127056,-0.15959772830637997,-0.09534142768123392,-0.1158816756195182,-0.13241077891210323,-0.10256528789506272,-0.0747809780742466,-0.08067759720624951,0.12246143558079203,-0.03627847647299943,-0.10940621065243689,-0.15272982173779667,-0.17151266739043042,-0.030507646380096783,-0.0659453516154357,-0.06617647677348473,0.04137948599333775
1890,-0.06092061460781158,-0.021748414127427885,0.02816462910376355,-0.1356214216545617,0.04839130779969979,-0.1232450113535609,0.037749264329255544,-0.10229784379071889,-0.01149071087419007,0.18296916902623303,-0.13403198498379282,-0.1165898727881873,-0.17159799895281233,-0.101802142853869,-0.11228538412178966,-0.06716046334994381,-0.00890127956127273,-0.02125938418088708,-0.01606115461351828,0.01626812251872753,0.012814346971159185,0.01765582553311134,-0.009636778126926324,-0.060480166377890464,-0.01617504179315825,0.07302075859635881,-0.1282082973143137,-0.09278315873104287,-0.09583952818030349,-0.029650651783182286,-0.09977293786501666,0.02923713670272015,-0.01380803627229818,0.0393134475393962,-0.1307644767707193,-0.213890469487826,-0.0630608327333149,-0.10531845071129592,-0.01312579035737763,0.011139311873305432,-0.18138352286999024,-0.08731867052024238,-0.0732098544231528,-0.07341435280075116,-0.052915307706250206,-0.046645114186871714,-0.04137943434688415,-0.0698838924049339,-0.09821502525544178,-0.04865070288486672,0.00993356986875367,-0.042698047521466505,-0.09355817581123703,-0.0698096851635522,-0.012867823951369433,0.09918467991712512,-0.0427554933435769,0.0004475387309759135,-0.11269006507671016,-0.04214582350650537,-0.0510124734306952,0.0007140378793542538,-0.07949830937912329,-0.11452872899842469,-0.08442413423237209,0.030198135540140354,0.16528436684890088,-0.08633118412908938,-0.12652881677704858,-0.1043530711698061,-0.11581876711502581,0.05824236059650342,-0.11276356109615564,-0.007952317090268212,-0.0006599962183134647,0.0439695173734987,0.01424192780077226,-0.06267117715939094,-0.09528747204591691,-0.0807443362526849,-0.18570810424862655,-0.11298081792689615,-0.09421520144295902,-0.19285650142356825,-0.07162009537762273,-0.11554896954883555,-0.048179933687149554,0.11770537260867968,0.022496350350311736,-0.006821974652287916,-0.11546731576390695,-0.19698472840195116,-0.07536431932446985,-0.10908231460750274,-0.03154267007062701,-0.03744812099588918
1900,-0.04500526388146556,-0.002923894864588902,0.01981801274225578,-0.15634584811405763,0.019123975379586034,-0.06889476832830542,0.03715075293298301,-0.02776937666139572,-0.058438406743442514,0.22358812646546725,-0.16976834484100564,-0.13428111994793895,-0.13094288104981527,-0.13757177958798444,-0.11776402807384065,-0.09044898075527555,-0.05011436297052103,-0.027670653278053983,-0.06090680568498109,-0.07545184764351098,0.056996614618915746,0.007537578190567253,0.0023145378164658725,-0.04353681386887484,-0.07780212628136593,0.04076060559259648,-0.17274587630812047,-0.11248104115067555,-0.09584190413119349,-0.0364784105750762,-0.08809878429255323,0.022806980415353822,-0.05379760048973483,0.01964909880905792,-0.09886688680603589,-0.21339505445354998,-0.1321715806250749,-0.07659369198578374,-0.09205206913409932,-0.040220426730894474,-0.1524997434570149,-0.05084288495471989,-0.06978482615131334,-0.10148701515442973,-0.010312488475296188,-0.0400203370058458,-0.07675399382820511,-0.09558437732831848,-0.11046995392419613,-0.07976961136846268,0.02897150335861003,-0.08375165057907795,-0.14776531591377035,-0.05807554757826985,0.01717494064690268,0.11381375310645936,-0.027950432616134304,0.014747872796625795,-0.03737879483114994,-0.06909967666649182,-0.04858252556970475,-0.04500550484427608,-0.07045546522121154,-0.10893514452791053,-0.06026558218231522,0.04962897911104973,0.21764283023892508,-0.1163801270619977,-0.07485919643160993,-0.06798481202074255,-0.08814011716240297,0.032959229044769764,-0.08508812962788743,0.012872906226892002,-0.0050227146110467195,0.05391761368952058,0.0386514704210353,0.00494037652084255,-0.11016625701589344,-0.11136138993743899,-0.14764460664544796,-0.12473705000939653,-0.07883892803326605,-0.20597243725085482,-0.1238519719523436,-0.1292537116220254,-0.08117511780357654,0.13926794517513694,0.008564103316931092,-0.09280062132601988,-0.10031020367750158,-0.14835257204373592,-0.12052874745659416,-0.0704270524279733,-0.00027330065846753763,-0.029132684634370822
1910,-0.08238942723725712,-0.10972004065426129,0.034229173294168594,-0.19211734093099422,0.03910004507999161,-0.12348781645124172,-0.015476960076918754,-0.060155971361630936,-0.05884663349465191,0.1886668497855536,-0.03980639160427317,-0.07760834311164068,-0.14966914206156112,-0.08770525070711577,-0.10931512852521279,-0.1610883295302172,-0.036342463825097204,-0.03787808092428154,0.000260972041720595,-0.07501016516632109,0.09972431639415136,-0.026182355273848844,-0.06290279925179604,-0.0387717526341488,-0.06140709937850407,0.017102731683761495,-0.14307381538817712,-0.11385348307767086,-0.09721001601967036,-0.005438263405724336,-0.12917696461407382,0.03312899539300091,-0.0332007895892341,-0.01870902638300749,-0.059276286950739915,-0.18864503019862555,-0.13752931581464867,-0.08186971503039382,-0.05877876083159988,-0.025743618591287768,-0.20862554010223427,-0.03889908999349946,-0.08738564023474855,-0.05237727025741541,-0.05695447591585841,-0.05505248944190482,-0.11896008353583536,-0.1385724052141007,-0.11749916863759201,-0.06126846639030948,-0.0025250677563049633,-0.055007778329703425,-0.17255814852865928,-0.09213295678129443,0.008496054864362551,0.11954159440806511,-0.04372430809379212,0.0037302519950861137,-0.07257810130924187,0.009058048552425558,0.0038621718208733478,-0.04621061761098673,-0.0923648095180109,-0.11137918619386122,-0.09106990282370635,0.03190133470974917,0.14023869352486276,-0.08370006253705452,-0.11338548870640876,-0.09085898325140965,-0.07925947236038484,0.08621602377882645,-0.05625625991201124,-0.015220074828461008,-0.005693910520008244,0.0003183137853514144,0.02123704902757841,-0.033052072881916236,-0.07343058824206034,-0.06799789814472017,-0.17405163501573181,-0.0796240862891487,-0.054034010681525836,-0.1419409714790011,-0.08607399382132222,-0.15415462404772168,-0.029564843010391768,0.14399746245748055,-0.006277076353719947,-0.05927621176546752,-0.14844760824057612,-0.16345865978476357,-0.10554019995579615,-0.10378560344256661,-0.0705285269668409,-0.024843842043889702
1920,-0.06315795973071993,-0.03013787416470857,0.035343646204339954,-0.18700583141914975,0.001654479481020758,-0.01341509428927339,-0.0005964306013506247,-0.12165001644901938,-0.02402436196214864,0.21206801032501066,-0.03826400876530616,-0.1435011931853029,-0.14330441380004205,-0.09418997553569662,-0.10563843207869533,-0.13010498971051665,-0.03343371790936003,-0.017023171046073524,-0.05837631535626197,-0.03951242419976995,0.058742222648446654,0.017773300167603878,0.03930832809923701,-0.13718677335723234,-0.0848171829588716,0.05298986589412915,-0.16030465142318584,-0.12237388214149417,-0.07026307487353291,0.029236938563585908,-0.1148430240920007,0.0053658868789427765,0.02357802335649251,-0.036774375515110834,-0.10441181764576403,-0.25569025362112674,-0.16277910338989443,-0.07853137592376334,-0.03832642849633396,-0.0178353559195522,-0.1517945484388444,-0.020514399858844005,-0.04608843325909652,-0.10989623158396435,0.007253197116221301,-0.07598728410120474,-0.1102652669902383,-0.05795625056532591,-0.15324147258146048,0.016383962852201665,0.013035442763103115,-0.005733476392608501,-0.19509872838769948,-0.06585270738345154,-0.011322821136748656,0.12609953836448412,-0.06569681246511798,-0.025552182666261188,-0.0683678637353578,-0.04588363233437054,-0.060427096595086376,-0.02443768813601101,-0.03715538183043348,-0.17591164267258888,-0.05694613036879899,0.035771260018489355,0.15466681115291087,-0.10326778704844629,-0.09384027422175112,-0.14622440518445645,-0.09100656853636392,0.11419899519609471,-0.07523507259751917,-0.03833919145959846,0.03326139687512874,-0.01827110294445213,0.01334472616646963,-0.025007988074795904,-0.03376726970262216,-0.12412443178733558,-0.14459492109533958,-0.06584531024437426,-0.053530089881127896,-0.18829095870411444,-0.07725695118849671,-0.094726982799133,-0.07856228914633513,0.11893418754411662,0.0037358068905345944,-0.06607423850597889,-0.060936515844280496,-0.19846838771393058,-0.04436664665585205,-0.10246891689317256,-0.013109388240620325,-0.04221160890416302
