 ,husband,wife,father,mother,son,daughter,brother,sister,uncle,aunt,niece,nephew,grandmother,grandfather,acquaintance,ally,associate,colleague,confidant,companion,counterpart,fellow,follower,member,neighbor,partner,patriot,supporter,arab,beggar,blacks,chinese,crippled,disabled,elderly,indian,jew,mexican,native,pauper,unemployed,woman,adversary,competitor,emigrant,foreigner,intruder,invader,occupier,opponent,opposition,rival,settler,stranger,visitor,vagrant,convict,criminal,crook,delinquent,deserter,enemy,felon,murderer,offender,robber,scoundrel,thief,traitor,villain,animal,ape,bear,bird,chicken,cow,dog,elephant,fish,lion,monkey,pig,shark,snake,beach,coast,earth,forest,island,lake,mountain,nature,ocean,planet,reef,river,sea,tree
word2vec-google-news-300,0.17140891575782383,0.1607770658949036,0.17891694262992464,0.19947458829303608,0.16479204072856363,0.14972173106031314,0.15905044958802547,0.18234790383396832,0.14146545552253353,0.16832768372749993,0.16258267900269208,0.1363272209500346,0.1794011604778724,0.19145965888647132,0.10155350882993379,0.2013992459347347,0.17727323091197061,0.07761624761744157,0.1929956141512907,0.1612197378409383,0.08248713090560716,0.2379499617394682,0.1115065202628255,0.22689020095958293,0.16683073427864853,0.22508194162766104,0.22825650394691763,0.3044827959442683,0.10142217970146254,0.10984779684131053,0.10750215482004044,0.024808713827779473,0.2188473405713156,0.3507284632606775,0.3004579994919549,0.05944240978552993,0.03970229902961063,0.019623006680776947,0.13731217113585484,0.10573939100114094,0.21763436186774618,0.10082578004745694,0.06647285171277903,0.06165013367946171,0.11672832827358989,0.07879699724753625,0.03748839952456491,0.0038823950548243277,0.14816601887455702,0.08056048606649298,0.1853365888120665,0.04495729716594092,0.06742252969251943,0.11401068357944236,0.09074539897668749,0.11223062369613014,0.11321938998241601,0.1799519380076167,0.05471894110566761,0.16893224636370271,0.053563914921230346,0.09182403189564659,0.11876453297112917,0.08133513702839026,0.09546438536400004,-0.0005418961944911507,0.05012801368626215,-0.009729227638716401,0.1727981351015485,0.1003893811429059,0.19510102069648277,0.03724657724811625,0.15381223932551857,0.07446599715738426,0.07754221222856321,0.030643480214667423,0.1811803203685847,0.08371227182401868,0.07402906689516343,0.08012998659918455,0.07096496494118473,0.052254923908278364,0.020511604037902018,0.08309913165348704,0.0691241759880099,0.09214050031055424,0.14628996227703292,0.08435168972097352,0.10903101337319854,0.08002228246227928,0.06248941158189109,0.2167288403708048,0.07647797198601336,0.13816155601802604,0.05100860832968609,0.08309706233714864,0.06184072664529665,0.07737389905932666
glove-twitter-100,0.5668111395269301,0.5514809437132092,0.6363822852235208,0.5726872632926273,0.15244682815827207,0.5578929313460609,0.5218909593175226,0.5078356420584798,0.4506482741321522,0.46069719105010015,0.37193006747633367,0.41789799000126965,0.47323510952677456,0.43805358964363295,0.3493740688729478,0.4386328781959875,0.5215849305535816,0.5343012696854309,0.17791158481884928,0.4583504427913714,0.33749059222782385,0.6015511990053739,0.2443580354711469,0.4579848275964211,0.45623042949797155,0.6389934233948125,0.4038924667649368,0.44485974730535577,0.2499218120747966,0.23574391002256573,0.46169835991764824,0.44571372703938644,0.3849397824896802,0.5514514417424854,0.6009061750485686,0.4409917438047705,0.28903244220891894,0.3932697752451573,0.49008275427789416,0.07557324549368877,0.5201060477009708,0.623126964247513,0.25978365149981186,0.3585192161050001,NA,0.3446855042070553,0.1873584051261008,0.08899630969393911,0.19253447184771733,0.5340691217815551,0.5083603805791591,0.2835889249898991,0.23419021900196846,0.4007115682531168,0.3605297475797854,0.1395179285714068,0.265776742237541,0.4225478137315846,0.2727208757028265,0.17785807228041542,0.14556700461736338,0.5540344507197396,0.24432256939685285,0.3412637367544012,0.27768838201004703,0.2519570282396277,0.15726682527865157,0.33137229563410797,0.3330793285729172,0.32845542804271216,0.42106875228622775,0.0880495559569277,0.44690761704601134,0.28661210877746673,0.3309816886583626,0.33451933473902074,0.4948171709068752,0.3677527289922768,0.36404738617006144,0.276050419011505,0.3292067103568524,0.30633352571445344,0.31948616639167465,0.28887927379070255,0.2692673222189637,0.4299186382873576,0.4938229151796883,0.38836202987855606,0.30379463631718234,0.3010637097897071,0.3456524931794956,0.5052270441178462,0.3257555468230265,0.3925732917853257,0.22215738314274114,0.17973017234333105,0.17056239503175932,0.41906173575035977
glove-twitter-200,0.5395360061813117,0.5272627820296041,0.5948891644502358,0.5262798306693804,0.234068463953972,0.5245076055288532,0.4960900287812767,0.49268371630954905,0.404437374399117,0.411465407674035,0.3473988993647947,0.37977423159985996,0.40925743730225983,0.3905179766044608,0.27525205496695854,0.3660327088463561,0.42908849278371597,0.44657543188216525,0.22307255670877985,0.40271215147475925,0.25383821803993556,0.5479438298655275,0.25132523120570155,0.4358966387677727,0.42002467522227005,0.553356840583339,0.3356402884293995,0.3971889132888965,0.2617320704999868,0.21460118940635664,0.4137684920791598,0.4185412725941537,0.3315981440573248,0.5444551504242937,0.5605432481855018,0.4014552665215801,0.28024529839189677,0.3784064910769377,0.4173955440235701,0.08818935507824079,0.4759344409403721,0.5629612570179164,0.20284356990830993,0.2546780759135108,NA,0.31095523204520853,0.17714371390647843,0.1361406301569782,0.10427787078717225,0.4301124167411668,0.430429748647002,0.2592975413912494,0.16137744881092672,0.3684369621759235,0.3356501710625035,0.11044228115195359,0.2202339530288344,0.372869623057558,0.18266372475200163,0.19605186854656131,0.11461196900169184,0.4489045294351799,0.22570321395535983,0.26986834881147215,0.24424224824580443,0.16764487015680746,0.05990517554051478,0.2707707101002555,0.2953956907413233,0.29128686572252693,0.4134454805336507,0.11557196478221454,0.40932470602765647,0.2763541877827278,0.30317017150970466,0.2942063701413058,0.47618089879318065,0.3143191031221094,0.3411542919218964,0.2683392890423854,0.28824748802706446,0.29408983700940183,0.30170796239244246,0.2868560985821502,0.29217242682860656,0.37895782034097475,0.45843496047291554,0.3226649408062778,0.2964707987665291,0.3230344426732531,0.3310931205192794,0.4475909402285325,0.326549057915167,0.3731213185740605,0.20827514212259768,0.21459186034068436,0.20672696001366234,0.3715218466827591
glove-twitter-25,0.7345715698269522,0.7196387144960962,0.7759726508265897,0.7169284222574182,0.18370365505026204,0.6904378853457966,0.6335528260255724,0.6068092118426224,0.5583893668709898,0.5700462979384904,0.4697955696389232,0.5084198940596663,0.6192908489157938,0.5945018200666446,0.5946868114838374,0.6370660307502993,0.7781261149784874,0.6796654618184033,0.45414723118642647,0.6794456591411835,0.5786910039429818,0.740449858889578,0.36504860202280137,0.5565843585916432,0.5979138275049356,0.8492574265332715,0.6426543239738829,0.5586933001053556,0.41003807685807553,0.5296285688033784,0.6369991021855886,0.6371744820046027,0.538165031021461,0.7287753262647725,0.7558833060567282,0.6684507521352001,0.4114029942346302,0.5555024310466534,0.6884078734271696,0.2252829436288359,0.7346564110040792,0.8080938352850531,0.49061241158351354,0.6548462693434638,NA,0.570917059541013,0.3210189679178784,0.17760940744086365,0.38152925755755623,0.7552178716971873,0.7068070473367172,0.5108804558917327,0.4551153396756526,0.6416211878394981,0.5944848040069243,0.2621008414476995,0.5756657527567177,0.6334028279115856,0.5111417224470902,0.46357153867863343,0.29023957335181566,0.7975214529090192,0.5241045428899925,0.566572566519621,0.5467956923017998,0.4595566470644139,0.2447577854172607,0.6144153136026093,0.5585473025880108,0.47580068925788405,0.5194466639508082,0.10432511509806235,0.5739222864191043,0.5235837189650666,0.37400597917555595,0.5059916922882173,0.5816836450879641,0.5079781507892207,0.5180642579878503,0.48714485619079395,0.4206176735059211,0.4561193316514188,0.4374481591505825,0.4274017269375022,0.45447885587844994,0.5927529627750588,0.7163113016732775,0.5551890967551011,0.46090754238273546,0.4992960956929254,0.5274067160717544,0.6680151298272656,0.5446773282339226,0.6296424527892558,0.4080931748246237,0.35154387831941725,0.3238079092114122,0.5454311577372987
glove-twitter-50,0.631982637298515,0.6219318718854016,0.7012186149820111,0.6313074618165546,0.17538206331877482,0.6128841847378096,0.5809118158997894,0.5607994565600305,0.5142046587227685,0.5111631938786925,0.42074130459110026,0.46175091172534855,0.5484461219578176,0.5145054562232675,0.4557101789865939,0.5477988952781361,0.6584801736536802,0.6218656316361645,0.2891638504741667,0.5668656947907484,0.4742136102691997,0.6736846078365214,0.25760465880072264,0.519794242287512,0.5367433200157958,0.7348203204160549,0.510334589355143,0.48268752457048275,0.3542188277492153,0.3530187626028393,0.5216835966379783,0.5332018527319522,0.46895406314529,0.6535908231315051,0.6634450437743561,0.5633015487887101,0.32691647736000906,0.482561780079888,0.5734718152210253,0.12423303369723533,0.5810885352311432,0.7085874394261479,0.27546291827102226,0.4879735115332959,NA,0.43755685307277775,0.26598495979237746,0.07832062059844716,0.1941306338864223,0.5970406021292197,0.5934063048729578,0.3626489780862782,0.287459899431811,0.5175881783438682,0.43233460795702977,0.15993508148249716,0.41368438453269196,0.5099230337062481,0.32441977428732005,0.26580888945449027,0.15463011676673596,0.6875552690474392,0.34420470464037267,0.4600052564003789,0.35802056638014856,0.39202340282148,0.21873706291412245,0.4570272895285346,0.4442915340863948,0.3758440247273761,0.4836064301701916,0.13206274109872101,0.5147134847924346,0.3792932545139509,0.36419158000470436,0.41790263908676695,0.5480605884070175,0.4656691690394508,0.47589873167897373,0.38239991543847635,0.37595766078456877,0.3957708013143619,0.40879567044164206,0.3704780775445157,0.3639895702220525,0.5029404614363118,0.6140028415376507,0.4449592123855199,0.36653296853981315,0.4037670642570737,0.41875755129116177,0.5961695377815199,0.4292263016337697,0.5124685315813955,0.3209171623486479,0.27311950395986134,0.23128878370015565,0.4640482573543133
glove-wiki-gigaword-100,0.5169514616836156,0.47121648341639166,0.5202886339853314,0.5130487391056441,0.4232376994007187,0.39761985399938926,0.4552532164418897,0.41663726892860975,0.36165394957200514,0.23686948809075667,0.1918622437262149,0.24396099743976057,0.3099348491492846,0.3182838930457617,0.18711824642119967,0.4132197377988096,0.3931365278355432,0.3525915480463637,0.12714174787812302,0.27820375850612944,0.22282990210297737,0.49016781363099204,0.13270991778055471,0.5592518932640433,0.3975156547952614,0.5057666340243918,0.2905100627277845,0.454736679826847,0.4697706063335584,0.055280300051936904,0.40195765053354515,0.4795646359230541,0.3519710021461112,0.550452799302084,0.5792368924877407,0.37199654977384455,0.20393674922618288,0.36409156311524943,0.3822782019080866,-0.165021797291986,0.4196193320855176,0.48733465576494617,0.22574760155918028,0.23799656762791382,-0.014374504860943684,0.19436965680738919,0.019470704863427734,-0.11625380493625914,0.023822446537025522,0.38545001386005906,0.512305745670227,0.36077812603438947,0.1376308515877132,0.20946501910049226,0.30485793399870276,-0.03622605879357997,0.2151621240814422,0.5066199781316991,0.008884885000815818,0.2235997122555673,-0.0305096359700014,0.44713570177437356,0.017272922520362017,0.1533345138232156,0.2666700191571257,0.022363383159099796,-0.16132693836500686,0.06678808432828971,0.1004354907665568,0.14314481734490725,0.4640551146317139,0.05842914939615999,0.3975991447782118,0.3423068627336366,0.17532369496446285,0.20827521786442482,0.3517498400281839,0.249833171717505,0.30110612734510345,0.23320927012255105,0.13935056082026764,0.185908242271057,0.14039780271731583,0.10673927615468864,0.2198195513716317,0.3168991677518209,0.3401169903757101,0.2946406988917206,0.37142671567226254,0.22548820388860677,0.20816568232950394,0.5769290109488571,0.26960364408234083,0.2515311150762405,0.06130203524799435,0.22811250702564248,0.31517117255297306,0.25858509005977837
glove-wiki-gigaword-200,0.4690617429574747,0.4111023526278537,0.48093243389620466,0.48897474742062863,0.39116356100651506,0.367742992410186,0.3858616762953169,0.36450348399871413,0.286536509964048,0.20991976038925791,0.19528265982127302,0.2267381594531526,0.2968744213792157,0.27996599510879516,0.13659534150995026,0.36603154636989876,0.3145447808916731,0.32523967008319776,0.08793726749881867,0.2217607624295715,0.17384718725267836,0.40562766765711744,0.10861486947773619,0.4870576623470892,0.3162454307123575,0.42038044068327113,0.3020121002215313,0.38638189395646466,0.39440709527453377,0.08473127199373792,0.3411489977226365,0.4163856312294414,0.29208463623262315,0.5153909530295956,0.519808298136456,0.3350102046331938,0.1968003277174608,0.3155310944973847,0.3598651339704105,-0.04982902311464001,0.38186102893534696,0.44841420783228203,0.12378207101088283,0.16431537781384978,0.010436548494272687,0.199128773846174,-0.019788253072270275,-0.09303118394317211,0.02216640423025371,0.3022533506884216,0.4440574324147748,0.25803504656476606,0.17412279835367114,0.17902351741490988,0.2663555616623322,-0.028858507705159842,0.19527862906465004,0.450362731538301,-0.008913420032903898,0.176978913769285,-0.059009535667626886,0.3479576339603363,0.01155915967162009,0.09772817082336288,0.19851355481355507,-0.023510508879064335,-0.17516497080397803,0.028800016266016838,0.0799670075409065,0.11021674686675695,0.42653928956485954,0.009972155294751558,0.3255678407296618,0.27294817647827957,0.14235943021983366,0.16682779347199783,0.2910722669933779,0.16961435448976456,0.22608320335241433,0.1572218439873864,0.04797553744979589,0.14093388502440615,0.10118701864540845,0.03502721791292631,0.18289043478856984,0.28297741954510425,0.2921737153784716,0.2536094703409125,0.2840293690383761,0.1809847075669138,0.1510280039335401,0.4813070120750449,0.23546969704174323,0.17858458170302818,0.01757824038632999,0.16790242492106874,0.2660883699951624,0.19058647451993094
glove-wiki-gigaword-300,0.3651630045593851,0.31719085340171155,0.3896320512275789,0.3965326161367527,0.2899747412415785,0.2803549808584096,0.3016405361911961,0.2824131090100547,0.22981386006714366,0.13337040770293654,0.1216992976335247,0.16206905472505223,0.21868429103230871,0.185977381275833,0.03413504067171691,0.29889095044914815,0.2091468024776684,0.2042994088948381,0.019239403308518113,0.12404200418097021,0.09661653922941693,0.31813327043412243,0.017373509827313085,0.3625600629061898,0.2553684086064161,0.28104808842902196,0.21307879897699508,0.29630992410511525,0.32710924312927736,0.04628188195114336,0.2552328057008559,0.3311261677357969,0.23522898910103454,0.43764672160818996,0.45257543074923584,0.24557800981667088,0.11980504598010587,0.2156743886198601,0.2732013440413507,-0.08876389370223313,0.2898963358989812,0.3296162162350999,0.06629593210453083,0.06900221671896388,-0.04865720069075568,0.1318577782409055,-0.03985469885054374,-0.14079109649831575,-0.013641523509211715,0.21213958902268717,0.3519869718814555,0.16046806288209103,0.06744291994230488,0.08381181894540363,0.15898757737945382,-0.04363070077693828,0.11460229416794102,0.3588288701306777,-0.06736650125792695,0.11676172894248457,-0.13756793599660672,0.2740644077184939,-0.06040615946121258,0.023162325523396584,0.13105287585717762,-0.0849894759189071,-0.20664723376665772,-0.03577724739229314,0.007584803506520757,0.035244365572782745,0.345014218771342,-0.030739230847600992,0.241690963629653,0.19080577726956935,0.07575726686530534,0.107383965849557,0.22585120401870137,0.126666735696065,0.18132555406922446,0.08094228648596488,0.010214430578245594,0.08731365447041294,0.05318104149896738,0.002921682962451167,0.08174500335683871,0.20543285429354682,0.2066893572402168,0.18309411578919413,0.19218595398142366,0.10181197138772986,0.07222025649367471,0.3814952053393094,0.16773198506389947,0.10801916314188446,-0.019414546414437253,0.08263555712970973,0.18976771789413913,0.14573944130999494
glove-wiki-gigaword-50,0.5368907405586211,0.4688132175360757,0.5347556646360792,0.5253209933020269,0.42586044205033907,0.40453134897702814,0.4326045452678765,0.4299296576120245,0.3362161773090565,0.23356180455408515,0.18928012518516812,0.24525134333713872,0.34336402235824004,0.34463741611554205,0.29532600695918476,0.4804156353902307,0.5078329534165836,0.47197164916978535,0.17224735601680227,0.35707957696500175,0.2865429832611879,0.5214044493576219,0.1495463774292021,0.6036139393884037,0.48702294056867956,0.6244546407271655,0.3665218284948364,0.49629099304709584,0.5409847716223978,0.1422981911669305,0.49706637394288283,0.576040023014263,0.42492666741208274,0.5967235762009337,0.6430570215598617,0.4857386861345309,0.24866111928079457,0.4229528965215766,0.39905458912806563,-0.17394975041489605,0.47649630444701674,0.5369700390585973,0.31549722726633594,0.3165521561399203,0.08754515915819332,0.3164678514633175,0.01483392979682368,-0.09284024092000867,0.08354010002734565,0.43441772662229816,0.5547952387504733,0.4004768667950507,0.20309076422831285,0.3460699478924104,0.39724951409116455,-0.046185526294447755,0.25416171680296323,0.5872984966500645,0.03505809123571152,0.2855384126487114,0.02543759380303976,0.5071287294514696,0.026781060280514073,0.1837604005998742,0.3387814705431234,-0.008367001509698267,-0.11237715287179066,0.11302247300901572,0.16318674181107387,0.1729642944141695,0.565079893935112,0.05592022216795338,0.4813934687022498,0.3958267676711139,0.21990775952030434,0.2588180199013337,0.367627172717518,0.25628053610678286,0.340586556758202,0.18492598779935393,0.12858346712672708,0.241380499731352,0.13271834697714097,0.09846110859785183,0.2149762919571707,0.3957286732115863,0.37755534380140965,0.3754490807407294,0.35894154039834775,0.19183185205621545,0.15770457760670803,0.6305332787029285,0.32735745720955023,0.23282348736233285,0.019701106470047882,0.2728122233972303,0.3653166734206034,0.24862245599005198
fasttext-wiki-news-subwords-300,0.518564052590152,0.5136161579875307,0.5502852679935704,0.5721482844981368,0.4516162237530879,0.4499655742831122,0.5014274273735992,0.49644896668585575,0.46982530594592264,0.4321303654723834,0.40153985722651947,0.4087234036195768,0.48899867660731805,0.46808187906420595,0.45429302653662573,0.48355496359517214,0.6043407091319406,0.5252861720452905,0.47140164421836245,0.5355877952176742,0.5270581236500891,0.5668824048008908,0.4771539848371161,0.5198137200094938,0.42198561550483016,0.5454854047794204,0.41868898150451883,0.5773570266946172,0.30120991804606023,0.42706421760566043,0.4367143400848449,0.4331519047003157,0.49571655026710826,0.5328895523786291,0.530279171943434,0.40956716836062,0.03506923908879522,0.2600559358471779,0.48629293335835644,0.3569591034256944,0.4911541364152406,0.47144654601184754,0.4899098042310666,0.4254739823095905,0.4443707178830559,0.4183267212402114,0.4163807658392529,0.42194762424849913,0.4523827223208605,0.4909702150021208,0.603453371552491,0.4463892354808715,0.40578920549901265,0.5074565441792338,0.4909932057604686,0.3887804491608141,0.4826586888976277,0.5086770880482858,0.36539480191668405,0.41559213655554095,0.3732265592980096,0.48569704553829895,0.31852005643794257,0.3746712940095398,0.4879959627457596,0.33080133002918,0.3327953612194335,0.3736385742634838,0.4031476526547595,0.4181503475348707,0.5045204358765814,0.37335559215774833,0.5269392379651271,0.4107780487515866,0.38408411947238924,0.3191580914716224,0.44724511807520106,0.3798601771896941,0.4255979807239177,0.37958436818589203,0.3902100210429175,0.3032446939493067,0.3753173831975274,0.3742487867730535,0.39707309585770073,0.43545504579311073,0.4066183017863859,0.4569731881832313,0.3786442627015715,0.32703520062549646,0.41330302182081485,0.6072213579222571,0.3569964128992445,0.4096079464841227,0.3427337160172796,0.3593133118770932,0.4112834741423952,0.4080516809171533
