1830,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.25173672676243275,0.08241240007624029,NA,0.11367871127347133,NA,NA,NA,NA,0.1943099987304473,NA,NA,0.03315910032213636,-0.04635563824768503,-0.07954701038188552,0.11234951656934869,0.03697963288636389,NA,NA,NA,0.17322052138806923,NA,NA,0.027425222435014534,NA,NA,NA,NA,NA,NA,-0.04283432353423571,0.017500547915601357,-0.35783691867938455,-0.24244938490575665,NA,0.022195319144824005,0.04632911577041047,NA,NA,NA,NA,-0.23109285639537394,-0.1173044866138814,NA,NA,NA,NA,NA
wife,0.2651396763999374,0.11119123629156237,NA,0.06086867389694418,NA,NA,NA,NA,0.06504939362523073,NA,NA,-0.021805410363813678,-0.03045797498116237,-0.1490764600948403,0.01366766280930505,0.08488170816297437,NA,NA,NA,0.12062253607464916,NA,NA,-0.013196781618283929,NA,NA,NA,NA,NA,NA,-0.07339750235311485,-0.003423711256662976,-0.28893185761987933,-0.18869424137384438,NA,-0.03627813152918588,0.0657098056401774,NA,NA,NA,NA,-0.23895277752140587,-0.15375369265403752,NA,NA,NA,NA,NA
father,0.2351100532020537,0.04617509174297006,NA,0.06767890377690282,NA,NA,NA,NA,0.20915523855660903,NA,NA,-0.007895122287259809,-0.055855237290436725,-0.061508236826554895,0.09613142475689535,0.20082066952729316,NA,NA,NA,0.16367388131928876,NA,NA,-0.017966522868786083,NA,NA,NA,NA,NA,NA,-0.13164972231132732,-0.054640425008104135,-0.36827770872843,-0.21222015741632178,NA,-0.06672499721881046,-0.04200095541353009,NA,NA,NA,NA,-0.3090671543176939,-0.2115410080531169,NA,NA,NA,NA,NA
mother,0.31896047898778046,0.11279454941642486,NA,0.06498662713575822,NA,NA,NA,NA,0.19283246039665378,NA,NA,-0.05314780278277417,-0.0684730119369768,-0.053350579652413174,0.06618513261832513,0.11070820182999336,NA,NA,NA,0.27838619277360765,NA,NA,0.019003514061732868,NA,NA,NA,NA,NA,NA,-0.12898395727980602,-0.03892895697400403,-0.32927437037690305,-0.2964206150822309,NA,-0.014499823948403427,-0.004294237741567644,NA,NA,NA,NA,-0.2673015827366454,-0.23382988638261434,NA,NA,NA,NA,NA
son,0.17789296095963486,0.02078671018162465,NA,0.030897482569609065,NA,NA,NA,NA,0.1327779113992972,NA,NA,-0.04619545518340494,-0.09208291300119131,-0.09352786919343671,0.04843118554656461,0.14509498247321917,NA,NA,NA,0.05088926057154185,NA,NA,-0.03287392145961528,NA,NA,NA,NA,NA,NA,-0.17698277619363928,-0.048343621486606335,-0.3082441651738581,-0.12691630733260947,NA,-0.07140173064383848,-0.07134437579183324,NA,NA,NA,NA,-0.2510525465729419,-0.17723832919265384,NA,NA,NA,NA,NA
daughter,0.22305850195731305,0.06424303890955577,NA,0.006795217845476355,NA,NA,NA,NA,0.0712248707326864,NA,NA,-0.03748128780844117,-0.027636277990838932,-0.07089749990525272,0.08161658914516082,0.1317020778544463,NA,NA,NA,0.08865148091554155,NA,NA,0.016748220754918334,NA,NA,NA,NA,NA,NA,-0.0880382614107362,-0.026841461959354745,-0.35391447855312036,-0.17965188337944074,NA,-0.04559859469435202,0.002124873501527775,NA,NA,NA,NA,-0.23765833395655891,-0.2276716461620091,NA,NA,NA,NA,NA
brother,0.18631391369158187,0.0026176845461126554,NA,0.06260248150578429,NA,NA,NA,NA,0.23717806996705143,NA,NA,0.010673302501835596,0.00991305170831498,-0.08758607420797726,0.10585220140765694,0.07306911858954881,NA,NA,NA,0.1834526865256541,NA,NA,0.011723523870208325,NA,NA,NA,NA,NA,NA,-0.0746400369601256,-0.01969203674698969,-0.3499554188784467,-0.10432785293854899,NA,-0.04175659430783369,-0.1421717212370962,NA,NA,NA,NA,-0.23195593759324482,-0.21070263085640006,NA,NA,NA,NA,NA
sister,0.24097943074081205,0.13805038203239944,NA,0.05823681844154663,NA,NA,NA,NA,0.2056790411607259,NA,NA,-0.05214993289370201,0.07199788408845553,-0.053355811728412465,0.09483613485185453,0.14563334098409267,NA,NA,NA,0.2715838639982999,NA,NA,0.09359779357334043,NA,NA,NA,NA,NA,NA,-0.03482000597659863,-0.0017418235711121567,-0.3111003418811157,-0.23435580159685343,NA,-0.02634149855191474,-0.0025405115875907548,NA,NA,NA,NA,-0.2222406330825974,-0.224303557157115,NA,NA,NA,NA,NA
uncle,0.17106733675636085,-0.018895927585020664,NA,0.035918053183294614,NA,NA,NA,NA,0.19820542751209305,NA,NA,0.04905575049672815,-0.0043788740927525925,0.02441669481841554,0.09680403307988751,0.1816524606715645,NA,NA,NA,-0.012756302205190527,NA,NA,-0.11887661948785977,NA,NA,NA,NA,NA,NA,-0.09102391481330252,-0.023672853955630103,-0.2662187538999332,-0.11759989815999726,NA,-0.09229973702519834,-0.07657822054791363,NA,NA,NA,NA,-0.2558183192800704,-0.19391277215068198,NA,NA,NA,NA,NA
aunt,0.07120052350705777,0.34816856772917604,NA,0.37734703862287816,NA,NA,NA,NA,0.11414426289182218,NA,NA,0.43390883750564857,0.3684252329709098,0.29476189094107025,-0.0010141111265342148,0.07554371969425049,NA,NA,NA,0.03775681345418157,NA,NA,0.4394929986853847,NA,NA,NA,NA,NA,NA,0.33964355691453385,0.3898727273500556,0.15320928856008842,0.21120984024221026,NA,0.3570369479062004,0.3313894181602743,NA,NA,NA,NA,0.2647795295409889,0.30899765785347594,NA,NA,NA,NA,NA
