1900,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.16213290455123106,0.1356360602986634,0.03228518012138006,0.1571690705985811,NA,NA,NA,NA,0.12169907350526506,-0.06930614602758302,0.11400470774828797,0.18597066034963192,-0.011708734802631902,-0.013314428182158208,-0.0011285359365369022,0.08409406096747518,NA,NA,NA,0.12887187224926322,0.10192490353324815,0.0647921846829396,0.0910288944444317,0.06516710051665853,NA,NA,NA,NA,NA,0.06815379441227737,0.05428792887179705,-0.10324559295065636,-0.05323361982905834,NA,0.03681973683943566,0.042006367159615074,NA,NA,NA,NA,0.0019196458258916999,NA,NA,-0.02780734775608758,NA,0.060713952691787226,0.12281254661371586
wife,0.18347004561671187,0.1502757260100323,0.0018673209676225563,0.20350496492805648,NA,NA,NA,NA,0.035360562253272304,-0.058490238660659666,0.10188753979405014,0.12637632983935038,-0.077108337322542,-0.13853072128300117,-0.04343552057791366,0.06785359211784808,NA,NA,NA,0.06294239721179148,0.06609385804154846,0.06158438331450678,0.003643406223269489,0.07548975226042294,NA,NA,NA,NA,NA,0.01648887375275898,0.010459294461245305,-0.1116003934255954,-0.012141133571218902,NA,-0.008708900558609614,-0.0020574758167347146,NA,NA,NA,NA,-0.04358038509188633,NA,NA,-0.03004563116625028,NA,0.05089615544355333,0.07051437524926962
father,0.20283921661674964,0.11058177263076643,-0.03459822568627732,0.20101409833281433,NA,NA,NA,NA,0.22797150714578718,-0.05037453116710363,0.12964075248791704,0.24205287845556897,-0.04303717041080873,-0.104423069060334,-0.04297501791825532,0.0937406185424558,NA,NA,NA,0.06426314931322856,0.025917735835673302,-0.03017153953267156,0.015562794051564249,0.07729746949238372,NA,NA,NA,NA,NA,0.015667344211456286,-0.06264704720180654,-0.1677007029307151,-0.08583771786454647,NA,-0.003947151057310649,-0.0021414256307977697,NA,NA,NA,NA,-0.09683552976901492,NA,NA,-0.09186863841553722,NA,0.023932108323115875,0.07045212299877367
mother,0.27044725800873937,0.16566109962382938,0.03982524164557965,0.21989491216126045,NA,NA,NA,NA,0.2344941153521411,0.0025715453022014303,0.1203509015113784,0.20593205736731995,-0.14437742482863197,-0.16135593704113438,-0.10271789067894407,0.017585744750918668,NA,NA,NA,0.05776295689920911,0.030246997979447836,0.019135976807033203,0.04148870048846933,0.051113274005389,NA,NA,NA,NA,NA,-0.004413040287486709,-0.04773452580191211,-0.11824116332070542,-0.11221161378003508,NA,-0.015981122470549246,0.00017650129282479222,NA,NA,NA,NA,-0.09622647536028518,NA,NA,-0.09339359225238607,NA,0.028751918888818197,0.0399550867939299
son,0.09952199311964431,0.12848640322286503,-0.03412012587079242,0.1294901883008913,NA,NA,NA,NA,0.10778227737563141,-0.015187293001985167,0.06273159810290195,0.12170500649848257,-0.02390006305609385,-0.1133868059733519,-0.053614050852003756,0.08180510198769422,NA,NA,NA,0.06265194930462023,0.038581737359531756,0.013553594902260003,0.06887305061189904,0.2515197203840432,NA,NA,NA,NA,NA,0.003940616558185027,-0.042143543350331374,-0.10457774700103892,0.05194981891686077,NA,-0.007309402086710267,-0.006878123866354845,NA,NA,NA,NA,-0.027348726103171756,NA,NA,-0.040028852913417595,NA,0.052646231209427345,0.09734182268157913
daughter,0.13630104083839037,0.16027460307984046,-0.0034023267726743193,0.17381610351482923,NA,NA,NA,NA,0.09380039314358031,0.001912164589918573,0.14633383676410108,0.10533943596945344,-0.07320647212561028,-0.08310583781117432,-0.029407447886958964,0.1111136786546927,NA,NA,NA,0.13418933061610797,0.11045065820332282,0.07777546485115122,0.044992497031653984,0.14767627943666492,NA,NA,NA,NA,NA,0.06649420584020953,0.004497459886278018,-0.04897267141492497,-0.02172822302031057,NA,-0.013246338928917415,-0.0052708274839635616,NA,NA,NA,NA,-0.002602156481741,NA,NA,-0.04920446063337119,NA,0.10363109140033361,0.08047514574610949
brother,0.11067785265720191,0.09994672453668085,-0.021892655738235622,0.12722912808795903,NA,NA,NA,NA,0.17847899922268354,-0.03787107274989298,0.1345703046001907,0.167632304802926,-0.026253576072196704,-0.05962898918820288,-0.020273040934112203,0.007036241295545945,NA,NA,NA,0.09629406375219765,0.10957412970744802,0.0008014280855242627,0.02148033494825085,0.12983926003339086,NA,NA,NA,NA,NA,-0.015399456806789467,-0.034278084475627524,-0.12032221516202665,0.014806163833278707,NA,-0.025470058417551754,0.05865669808484946,NA,NA,NA,NA,-0.05950335147021569,NA,NA,-0.06936384089676852,NA,0.0699483511497065,0.0443312890863883
sister,0.15770920541203495,0.14040846844109559,-0.012992666202489905,0.17191455110933268,NA,NA,NA,NA,0.15415916260587495,-0.005845613480411139,0.1581630628235427,0.16615832755661358,-0.024266586685424148,-0.061573407237576754,-0.04895788626974066,0.038168888879466394,NA,NA,NA,0.1263516864616998,0.12443452205262306,0.09612340913626463,0.06889070290849283,0.08704940716886492,NA,NA,NA,NA,NA,0.029681962671982674,0.013701766042157922,-0.021677935235561063,-0.06192495450035425,NA,-0.01639932608858298,0.07459191321633084,NA,NA,NA,NA,-0.061062300007985154,NA,NA,-0.054369730667759845,NA,0.11394731515481414,0.11999823213537389
uncle,0.08477508571680722,0.030669043486957464,-0.009203183713682242,0.1269753056796698,NA,NA,NA,NA,0.13891450135998662,0.00970435357433181,0.044608176274609466,0.15184341069885712,-0.09354184822685328,-0.09365327566116483,-0.06889789002879966,0.0234894372404069,NA,NA,NA,-0.045572855233588845,0.07059141631199985,0.0020750369625489144,0.010514170380129653,0.07511720579312618,NA,NA,NA,NA,NA,0.00380127544631884,-0.04480907809460182,-0.0831443827321561,-0.08574579143007317,NA,-0.13972846730931704,-0.00022681346952693401,NA,NA,NA,NA,-0.11204671754823452,NA,NA,-0.040575638079831756,NA,0.058424414602633125,0.016944881822448035
aunt,0.12599401515665878,0.04362408308340642,0.021888610677010707,0.1202442914849082,NA,NA,NA,NA,0.17480824167189865,0.03614458451957105,0.09975103478069737,0.09500373283458752,-0.14244061693642499,-0.038552308656996874,-0.10288923538276273,-0.058872113853566825,NA,NA,NA,-0.059229398346401056,0.10126360473091198,0.05634089220429676,0.07253056045445924,0.06976642940486698,NA,NA,NA,NA,NA,-0.02528109740303109,0.026863986265657915,-0.09593092406700235,-0.050942983455721694,NA,-0.12294049255771222,-0.012884024184346142,NA,NA,NA,NA,-0.1542363021483304,NA,NA,-0.019884104694442704,NA,0.019277409291189804,0.0016802176623576977
niece,0.034847834238343055,0.3705678727351218,0.3301496368361563,0.11797496955592815,NA,NA,NA,NA,0.062369507002931784,0.27867432800164993,0.3918810193234477,0.13180640031896454,0.017243420362148466,0.2977467845720267,-0.048821478938481364,0.0764466271426187,NA,NA,NA,0.09390041026161448,0.50552060440141,0.40358670702632277,0.4007268325216214,0.4294736830385716,NA,NA,NA,NA,NA,0.37246122127550196,0.33307919823999654,0.26471773056568776,0.3628931500555061,NA,0.34623593335197705,0.34263492460607103,NA,NA,NA,NA,0.284960086813198,NA,NA,0.3005049330529407,NA,0.4244944237475601,0.35603189510959043
nephew,0.06275355244956698,0.32105078620286254,0.2890516364162801,0.06762395601206922,NA,NA,NA,NA,-0.03196953961504202,0.2986880402237056,0.3638775329545017,0.08906457831823207,0.06080934947401198,0.3224881975635536,-0.048031598491231245,0.1331168843152762,NA,NA,NA,0.042918428021809577,0.454337637897008,0.32918704728464604,0.35671949836619576,0.478491502412013,NA,NA,NA,NA,NA,0.3786110428832921,0.2827876090420053,0.26280400148261623,0.45516152303654567,NA,0.2993862735299446,0.315357964552624,NA,NA,NA,NA,0.3539085250070865,NA,NA,0.31475678331433493,NA,0.3891822789675627,0.3715582620468554
grandmother,0.19966968786642417,0.0988455900123588,0.183200463715605,0.17814270186938888,NA,NA,NA,NA,0.12624507908967514,0.09174378412817724,0.08817246084417497,0.12320130144052097,-0.09268501392432144,-0.04838278309724013,-0.056902963033434825,-0.05590663151572788,NA,NA,NA,0.028076268432259598,0.09173601011497391,0.06280663318493372,0.11749203037875688,0.12968589294103194,NA,NA,NA,NA,NA,0.05845702267349525,0.0704920433175579,-0.07059693078515034,-0.019520657420564726,NA,-0.013498851526199552,0.05410028120571581,NA,NA,NA,NA,-0.14998027775037942,NA,NA,-0.029385722296856088,NA,0.09233603745164626,0.06056849122705225
grandfather,0.09928557176500692,0.3700323235199268,0.3072556600928657,0.09294967186999264,NA,NA,NA,NA,0.07710879010182335,0.2519867863143626,0.36530718932835543,0.18374982755445352,-0.06703637559357198,0.25139158793614924,-0.011972536470437153,0.008716600517969603,NA,NA,NA,-0.0009379780781396962,0.4750134721607114,0.26039541479733563,0.3776100389482526,0.38728906447098677,NA,NA,NA,NA,NA,0.295832541461707,0.2862646465464797,0.31490338674367113,0.3960042124330847,NA,0.34577469758744317,0.3264986295011496,NA,NA,NA,NA,0.4007342005761317,NA,NA,0.2708214624100245,NA,0.3447373955968005,0.3265306796089346
acquaintance,-0.009356263637707803,0.04525182335478349,-0.03531226714481021,0.05435842736555192,NA,NA,NA,NA,-0.03536606840950822,-0.04653298381919355,0.057450290766969565,0.11711083089164757,0.04710935540591826,0.06841251040228849,0.038798406702007696,0.20567478795180621,NA,NA,NA,0.23324564959263083,0.17388856703397584,0.17678449151610628,0.1347326806564598,-0.032476239848065996,NA,NA,NA,NA,NA,0.15239768693553093,0.06399112931111027,0.041279803254242804,0.0728616569888357,NA,0.07237084508874608,0.05248346414703656,NA,NA,NA,NA,0.10991726085836975,NA,NA,0.03851089609415331,NA,0.09417158253888447,0.06189991728174975
ally,0.013156860926291676,0.2873003634034678,0.3382665494098448,0.08332390480837626,NA,NA,NA,NA,-0.003707210556330587,0.34801378007760025,0.3477537045060128,-0.04123798375655798,0.06906880370363722,0.3752912855982963,0.10978507263634514,0.07542862773752507,NA,NA,NA,0.11797323881616574,0.4906935079732581,0.3613707596361691,0.2721316681675531,0.447799958604034,NA,NA,NA,NA,NA,0.4134301013952665,0.37553711930842865,0.3853232717291081,0.4670577036502656,NA,0.3537168718395387,0.3640645511596222,NA,NA,NA,NA,0.4025228517008918,NA,NA,0.3843365741079769,NA,0.3866778355598517,0.43482351174277944
associate,0.10831983577945722,0.37737255721315105,0.32907957594623616,0.029455817891972737,NA,NA,NA,NA,-0.01349854688066788,0.34359925079282844,0.34542947513177114,0.04599504175945919,0.1291955791531141,0.3764475178228439,0.09520061800723191,0.13743121435173689,NA,NA,NA,0.1008588402679948,0.6101301309810199,0.3720564399652547,0.3992376807248757,0.4117176828926367,NA,NA,NA,NA,NA,0.4548500352141086,0.41892028650870883,0.3187298746613274,0.48636285050347167,NA,0.3928910273954669,0.3723689822401978,NA,NA,NA,NA,0.4340326671379619,NA,NA,0.3977974102125605,NA,0.42609562646955484,0.34680705855775434
colleague,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
counterpart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fellow,0.03128632572676764,0.07384077745300174,-0.021894327300990193,0.14009046243256862,NA,NA,NA,NA,0.1648596491111569,0.056586131271182234,0.12921423908590368,0.15474687886634153,0.006476674189710929,-0.08581816997812226,-0.10714654418170627,-0.23194937101174956,NA,NA,NA,0.08587475109990612,0.12830885517086807,0.07517284623834797,0.03169863263554767,-0.04003635166677522,NA,NA,NA,NA,NA,-0.04196547314667014,0.04749699789276566,-0.08589075465327117,0.060760461330073214,NA,-0.035840198537711615,-0.06342678440169221,NA,NA,NA,NA,-0.06820845088885372,NA,NA,-0.07692883692470215,NA,-0.010029798188621259,-0.04842165330247345
neighbor,0.03450595132932924,0.37978078384118935,0.30939769517068294,0.09011165743494555,NA,NA,NA,NA,0.03723835897901054,0.33311417380477143,0.411958372302343,0.09065965470385526,0.0021496979169554043,0.3088818727683037,-0.004285976451954749,-0.03497035924088372,NA,NA,NA,0.014222213739759201,0.47338605221717023,0.33305393194003996,0.3189195931638567,0.39992089053009555,NA,NA,NA,NA,NA,0.3338559762273475,0.3227532706982213,0.3109988009850077,0.4429928443660153,NA,0.3503788145703139,0.358165658118595,NA,NA,NA,NA,0.2808550028751793,NA,NA,0.34574338079479816,NA,0.3415150346591367,0.30776725647106845
