1910,care,cares,caring,cared,nurturing,nurture,nurtures,nurtured,help,helps,helping,helped,concern,concerns,concerned,concerning,empathy,empathetic,empathize,sympathy,sympathize,sympathetic,compassion,compassionate,uncaring,apathetic,apathy,unconcerned,unconcerning,indifference,indifferent,detached,detachment,neglectful,neglect,neglected,neglecting,unsympathetic,unempathetic,uncompassionate,disregard,disregarded,disregarding,ignore,ignores,ignoring,ignored
husband,0.22458268891695848,0.07063306387780775,0.1543112237392854,0.18812286180895338,NA,0.11403223267273548,NA,0.022908661361723846,0.16120478252531847,0.0008779676892884566,0.11627812972724381,0.04914603316678667,0.08956322346103938,-0.00949949665065983,0.02924760761868178,-0.040903640261337255,NA,NA,NA,0.13489895181392764,0.1749089342249349,0.04205783805343673,0.16190451070044595,0.12675596438432046,NA,-0.036491909168628635,-0.07296389175418622,0.04808008533637221,NA,0.11889110637961359,0.10247641499090647,0.045014846113686675,-0.0029140967368423603,NA,0.045935551028180074,0.1105457770036181,0.05627268559159345,-0.02739055476149655,NA,NA,0.004391459234545199,0.00726161000945461,-0.022338635460991126,0.06535724422480473,-0.06884813237709782,0.09972686546920202,0.043816231126833416
wife,0.2383296780278024,0.10512554677160181,0.16197160823862525,0.17728910955430527,NA,0.09954156774962797,NA,0.09196903324494055,0.12889117265266897,0.03964039281503494,0.09464140398619214,0.12331953456838064,0.08177200491702602,-0.024178178510921678,-0.029114818681497456,-0.05638804861144605,NA,NA,NA,0.12200286264101805,0.1262330684482309,0.004441121836849678,0.1133224026324307,0.13244015411930832,NA,-0.017039947300233286,-0.10472931219988431,0.019110831102668854,NA,0.037596247359431165,0.11995135512261956,0.0007884913625911907,-0.0017751327786167683,NA,0.06279434297232594,0.1135618526296339,0.013825332532806118,0.0015259574356107906,NA,NA,-0.050312084624361014,-0.05853120814764325,-0.01966156920299301,-0.0243574563533933,-0.05998935007641612,0.015849698742384406,-0.04264482948048321
father,0.17774894141543923,0.15084571527994256,0.1095080640674621,0.12728477752469244,NA,0.09371943126108966,NA,0.11754381407342335,0.21217421125464841,0.05153036693781503,0.12821640125899264,0.1066081232134999,0.09902678133285711,0.048286650253771386,-0.004681097880268801,0.032685099271072715,NA,NA,NA,0.057597563097570664,0.13391273157368228,-0.03361640510982577,0.11101510679271362,0.11848447654182864,NA,-0.04753166742850705,-0.05214389916127782,-0.036055251233043185,NA,0.019067645418419325,0.009320660883557381,-0.039159132498447526,-0.025355307512834883,NA,0.04753300919202966,0.056295685279742595,-0.039972736718417286,0.0053462106311131605,NA,NA,-0.15274325254232402,-0.0778737000083195,-0.011749438261932943,-0.0664643011055207,-0.0604136131933034,-0.03130309695135542,-0.10091005770119421
mother,0.2892208184847389,0.14515621771962636,0.2129010390494191,0.22407923527087223,NA,0.1748978808930564,NA,0.18962606050617523,0.19813862444120942,0.06194943733346749,0.1665403771229905,0.15149094638712354,0.07679488714214638,-0.018627734926685447,-0.043557197410787334,-0.030153523689009212,NA,NA,NA,0.09340937059001764,0.1350644541355525,0.018197553564248254,0.151733864455548,0.16507720328908132,NA,-0.029550047244598525,-0.051955120601859375,-0.03001445325686424,NA,0.003909515926293231,0.026001950093734252,-0.07475288980656256,-0.05289771690749386,NA,0.003096135278528695,0.08858303090207792,0.012966278763827183,-0.005428010393452154,NA,NA,-0.1153524430693428,-0.05103867799734957,-0.1000475218094339,-0.0722608495826408,-0.12341711179577354,-0.0654213466109444,-0.08050949213633452
son,0.06589165255553792,0.018760470853610104,0.042310882497631916,0.010441023646040656,NA,0.0944058845051343,NA,0.07851399828926213,0.11998323500591904,0.0019484151174832937,0.057870307357955696,0.02765691043699961,-0.007385503488769988,-0.10541164694200883,-0.15475517772653674,-0.007500921461444214,NA,NA,NA,0.025947200217061643,-0.004058888829464645,-0.06901666728081358,0.0651964274533069,0.09798666019916995,NA,-0.0398508178009491,-0.11268013701693554,-0.09815989824824004,NA,-0.06842094709676926,-0.055927168428999564,-0.055787885972358404,0.07100439618749718,NA,-0.029556155723112692,0.01981295262131509,-0.10454160716098383,-0.0068634967864922534,NA,NA,-0.1438666149401403,-0.07244034687872751,-0.034459126633815985,-0.09624727109519701,-0.0224710712156,-0.0744217734466447,-0.11189129611360295
daughter,0.04112671275253533,0.02244940978101782,0.019422959124301527,0.02742225872446979,NA,0.12736040118293931,NA,0.0809419839032445,0.08404112877978563,0.017606529438912145,0.06413866941106883,0.05278454918761494,0.016341585798004373,-0.1067033548279831,-0.1207845295651492,-0.015452131366571717,NA,NA,NA,-0.0012451608878020172,0.02380647682839274,-0.005076534322774131,0.08392186882116175,0.16614395579393132,NA,0.0294105981641351,-0.07741684684593204,-0.073392926210565,NA,-0.028477277410002576,-0.03412591846612002,-0.04409116736522488,0.08945192557213136,NA,-0.04864699922394687,-0.028312379915171,-0.08425280709647817,-0.018894197725222835,NA,NA,-0.10386590008029208,-0.0949373180312383,-0.018877747911967946,-0.11994407656952757,-0.09527322544113323,-0.07744387577543055,-0.1359928348737571
brother,0.11711442630925664,0.055686426003396405,0.07073403084674955,0.09381475626515363,NA,0.010800982443653807,NA,0.05904613479046455,0.18691683253836014,0.020701205228697683,0.16393575655612297,0.046819644056602085,0.05425531330216851,-0.05096399063947428,-0.013369442792204386,-0.050169428744046354,NA,NA,NA,0.09381091532863133,0.1380012228129293,-0.003328609291888089,0.11961278680339156,0.08847295854993652,NA,-0.03397606113148329,-0.11083382535519642,-0.05175948199132664,NA,-0.007095342291101264,-0.07009354763865437,-0.052576180354284796,0.061729530203131724,NA,0.003517027985887272,0.00858434883626148,-0.0208304824426956,0.03858167962431499,NA,NA,-0.09504265698482234,-0.05438101699910097,0.002910423677019632,-0.09278034416362547,-0.04025639629718001,-0.009597859173529715,-0.08489964729933783
sister,0.18987799169689515,0.0997321614568794,0.10770690571491384,0.16744949030788647,NA,0.09358953884743144,NA,0.08073466672107586,0.15369719513377345,0.007416759338715967,0.11685370910391865,0.09331072029685401,0.10942117014255313,0.042126002217477754,0.03381388570694833,-0.031513219955127646,NA,NA,NA,0.11907697019833514,0.17753215590289767,0.022594818779833107,0.17621263518181188,0.14691733447585506,NA,-0.047890906062112,-0.07346092034204371,0.0009055634362828719,NA,0.10506480712398246,0.03253883971917761,-0.10512502185951572,-0.08319819959484952,NA,-0.0011489943562858524,0.059377456941177034,0.025113313732716525,0.0022044080841820274,NA,NA,-0.04128811753539896,-0.021095162784291712,0.04323886320310083,-0.08371562474063647,-0.035194479226096115,-0.0026467108715707353,-0.04496911292253131
uncle,0.14807584784573,0.05499941699336868,0.0429050970913496,0.13445112466257342,NA,0.06694838068205693,NA,0.09991559600510105,0.13414701828498854,0.006902513886248255,0.06709349913945786,0.013609044103755063,0.017205117983522297,-0.012315630768354945,-0.011936965442861174,-0.016091738516487365,NA,NA,NA,0.03522629127846464,0.10178549739771069,-0.017748248675945585,0.06651593286893936,0.0674132817060342,NA,-0.0006772085412671097,-0.08521313733711518,0.062428026051578316,NA,-0.0036691043740591667,-8.079775836074191e-05,-0.030438075757934613,-0.005474523157571381,NA,-0.06961595783103988,0.0031653382636027375,-0.0358783047849887,0.03692400298684974,NA,NA,-0.06140031169146984,-0.0008876779058899589,-0.02456936409166654,-0.09568064698378279,-0.08211129972788915,-0.07028063611297063,-0.03605941173222211
aunt,0.18213360913097842,0.12115243921172748,0.11637779369043896,0.18181095200122427,NA,0.0807186348158729,NA,0.11490158892449037,0.1566955991126097,0.06483119669249407,0.11443106110259904,0.06959895846781361,0.059047377193233504,0.025190401780016202,-0.04592463108489769,0.01131553576509379,NA,NA,NA,0.08325024633643661,0.16324781363162927,-0.042069238853448876,0.13861494661241788,0.09950292539005921,NA,0.06060430505341796,-0.07451456015520261,0.08926020079731888,NA,0.0583413101194582,0.03565435008145514,-0.033797746160246715,-0.025875317013017655,NA,-0.016253127564494613,0.03218588184123156,-0.016889337864533418,-0.02748761340872389,NA,NA,-0.07017062587711553,-0.037120908202771745,-0.0407671014671857,-0.04685067665925949,-0.1288064498349681,-0.031778787941690534,-0.09289394761071897
